batch_size,next_n,heads,index_dim,avg_kv_length,var_ratio,deepgemm_us,moreh_us,speedup,top_configs
7,1,32,128,65536,0.00390625,48.0,28.3,1.699,"[(8, 128, 36, 28), (8, 128, 38, 30), (8, 128, 44, 31), (8, 256, 34, 33), (4, 64, 146, 34), (8, 128, 242, 34), (8, 128, 228, 34), (8, 256, 38, 34), (8, 256, 40, 34), (8, 128, 234, 34)]"
7,2,32,128,65536,0.00390625,91.0,51.5,1.768,"[(4, 64, 58, 51), (4, 64, 70, 51), (4, 64, 60, 52), (8, 64, 58, 52), (2, 64, 60, 53), (8, 64, 60, 53), (2, 64, 58, 53), (4, 64, 292, 54), (4, 64, 334, 54), (4, 64, 240, 54)]"
15,1,32,128,65536,0.00390625,95.7,40.6,2.356,"[(8, 128, 36, 40), (4, 64, 82, 44), (8, 64, 82, 46), (4, 64, 80, 46), (4, 64, 84, 46), (4, 128, 36, 46), (8, 128, 34, 47), (2, 64, 80, 47), (2, 64, 82, 47), (2, 64, 84, 48)]"
15,2,32,128,65536,0.00390625,174.4,93.1,1.872,"[(8, 128, 40, 93), (8, 128, 42, 93), (4, 64, 24, 94), (8, 128, 64, 94), (8, 64, 24, 95), (8, 128, 62, 96), (4, 64, 68, 96), (8, 128, 60, 96), (8, 128, 58, 96), (4, 64, 66, 96)]"
