batch_size,next_n,heads,index_dim,avg_kv_length,var_ratio,deepgemm_us,moreh_us,speedup,top_configs
5,1,32,128,65536,0.00390625,38.2,23.6,1.616,"[(8, 128, 106, 23), (8, 128, 98, 26), (8, 128, 92, 26), (8, 128, 96, 26), (8, 128, 100, 26), (8, 128, 124, 27), (8, 128, 110, 27), (2, 64, -1, 27), (8, 128, 114, 27), (8, 128, 118, 27)]"
5,2,32,128,65536,0.00390625,68.1,42.0,1.619,"[(8, 128, -1, 42), (4, 64, 58, 42), (8, 128, 58, 42), (8, 64, 58, 42), (4, 64, 60, 42), (8, 128, 62, 42), (8, 128, 60, 42), (8, 64, 60, 42), (8, 128, 64, 42), (4, 128, 64, 42)]"
13,1,32,128,65536,0.00390625,83.9,45.8,1.831,"[(4, 64, 58, 45), (4, 64, 60, 45), (8, 128, 124, 46), (8, 64, 60, 46), (8, 64, 58, 46), (8, 128, 110, 47), (8, 128, 108, 47), (8, 128, 126, 47), (8, 128, 104, 47), (8, 128, 122, 47)]"
13,2,32,128,65536,0.00390625,175.2,78.4,2.235,"[(4, 64, 46, 78), (4, 64, 76, 78), (4, 64, 78, 78), (4, 64, 74, 80), (2, 64, 46, 80), (8, 64, 78, 80), (8, 64, 46, 81), (8, 64, 74, 81), (8, 64, 76, 82), (8, 128, 64, 83)]"
