batch_size,next_n,heads,index_dim,avg_kv_length,var_ratio,deepgemm_us,moreh_us,speedup,num_warp,chunkK,splitK
7,1,32,128,65536,0.00390625,48.0,28.3,1.699,8,128,36
7,2,32,128,65536,0.00390625,91.0,51.5,1.768,4,64,58
15,1,32,128,65536,0.00390625,95.7,40.6,2.356,8,128,36
15,2,32,128,65536,0.00390625,174.4,93.1,1.872,8,128,40
