batch_size,next_n,heads,index_dim,avg_kv_length,var_ratio,deepgemm_us,moreh_us,speedup,top_configs,num_warp,chunkK,splitK
1,1,32,128,65536,0.00390625,8.8,11.2,0.784,"[(2, 64, -1, 11), (8, 128, 512, 12), (8, 128, 476, 12), (8, 128, 334, 12), (8, 128, 332, 12), (8, 128, 298, 12), (8, 128, 412, 12), (4, 64, 704, 12), (8, 128, 510, 12), (8, 128, 410, 12)]",,,
1,2,32,128,65536,0.00390625,12.0,14.7,0.818,"[(4, 64, 410, 14), (4, 64, 362, 14), (4, 64, 404, 14), (4, 64, 360, 14), (4, 64, 418, 14), (4, 64, 366, 14), (4, 64, 412, 15), (8, 128, 446, 16), (8, 128, 280, 16), (4, 128, 172, 16)]",,,
2,1,32,128,65536,0.00390625,12.3,12.0,1.023,"[(8, 128, 364, 12), (8, 128, 328, 12), (8, 64, 280, 13), (8, 128, 140, 13), (8, 256, 254, 13), (8, 256, 184, 13), (8, 256, 242, 13), (8, 128, 142, 13), (8, 256, 186, 13), (8, 256, 144, 13)]",,,
2,2,32,128,65536,0.00390625,32.9,22.4,1.467,"[(4, 64, 170, 22), (4, 64, 130, 22), (4, 64, 178, 22), (4, 64, 176, 22), (4, 64, 184, 22), (4, 128, 166, 22), (4, 64, 124, 23), (4, 64, 126, 23), (2, 64, 324, 23), (2, 64, 328, 23)]",,,
3,1,32,128,65536,0.00390625,29.1,21.2,1.372,"[(2, 64, -1, 21), (8, 128, 478, 21), (8, 128, 480, 21), (8, 64, 448, 22), (8, 128, 476, 22), (8, 64, 446, 22), (8, 128, 240, 22), (4, 64, 308, 22), (8, 128, 202, 22), (8, 128, 176, 22)]",,,
3,2,32,128,65536,0.00390625,48.2,31.5,1.529,"[(4, 64, 284, 31), (2, 64, -1, 31), (2, 64, 166, 32), (4, 64, 154, 32), (4, 64, 140, 32), (4, 64, 132, 32), (4, 64, 142, 32), (4, 64, 90, 32), (8, 128, 98, 32), (8, 64, 94, 32)]",,,
4,1,32,128,65536,0.00390625,27.5,24.8,1.109,"[(2, 64, -1, 24), (4, 64, 152, 26), (8, 128, 474, 26), (8, 128, 164, 26), (8, 128, 142, 26), (8, 128, 178, 26), (4, 64, 148, 26), (4, 64, 214, 26), (8, 128, 176, 26), (8, 128, 218, 26)]",,,
4,2,32,128,65536,0.00390625,58.6,35.7,1.642,"[(4, 64, 126, 35), (4, 64, 158, 36), (4, 64, 160, 36), (4, 64, 156, 36), (4, 64, 154, 36), (8, 64, 116, 36), (4, 64, 310, 36), (2, 64, 148, 36), (4, 64, 306, 36), (4, 64, 276, 36)]",,,
5,1,32,128,65536,0.00390625,38.2,23.6,1.616,"[(8, 128, 106, 23), (8, 128, 98, 26), (8, 128, 92, 26), (8, 128, 96, 26), (8, 128, 100, 26), (8, 128, 124, 27), (8, 128, 110, 27), (2, 64, -1, 27), (8, 128, 114, 27), (8, 128, 118, 27)]",,,
5,2,32,128,65536,0.00390625,68.1,42.0,1.619,"[(8, 128, -1, 42), (4, 64, 58, 42), (8, 128, 58, 42), (8, 64, 58, 42), (4, 64, 60, 42), (8, 128, 62, 42), (8, 128, 60, 42), (8, 64, 60, 42), (8, 128, 64, 42), (4, 128, 64, 42)]",,,
6,1,32,128,65536,0.00390625,45.4,29.3,1.551,"[(8, 64, 94, 29), (8, 128, 86, 31), (8, 128, 98, 31), (8, 128, 96, 31), (2, 64, -1, 31), (2, 64, 138, 32), (4, 64, 152, 32), (4, 64, 90, 33), (4, 64, 98, 33), (8, 64, 494, 33)]",,,
6,2,32,128,65536,0.00390625,82.1,48.9,1.68,"[(8, 64, 70, 48), (8, 64, 72, 49), (8, 64, 68, 49), (2, 64, -1, 51), (8, 64, -1, 51), (4, 64, 66, 52), (4, 64, 78, 52), (4, 64, 48, 52), (4, 64, 70, 52), (8, 128, 44, 52)]",,,
7,1,32,128,65536,0.00390625,48.0,28.3,1.699,"[(8, 128, 36, 28), (8, 128, 38, 30), (8, 128, 44, 31), (8, 256, 34, 33), (4, 64, 146, 34), (8, 128, 242, 34), (8, 128, 228, 34), (8, 256, 38, 34), (8, 256, 40, 34), (8, 128, 234, 34)]",,,
7,2,32,128,65536,0.00390625,91.0,51.5,1.768,"[(4, 64, 58, 51), (4, 64, 70, 51), (4, 64, 60, 52), (8, 64, 58, 52), (2, 64, 60, 53), (8, 64, 60, 53), (2, 64, 58, 53), (4, 64, 292, 54), (4, 64, 334, 54), (4, 64, 240, 54)]",,,
8,1,32,128,65536,0.00390625,59.3,38.3,1.548,"[(2, 64, -1, 38), (8, 64, 50, 38), (8, 64, 76, 39), (4, 64, 74, 39), (4, 64, 76, 39), (4, 64, 96, 39), (4, 64, 72, 39), (4, 64, 98, 39), (8, 128, 70, 39), (8, 64, 72, 39)]",,,
8,2,32,128,65536,0.00390625,101.9,46.3,2.2,"[(8, 128, 36, 46), (8, 64, 38, 46), (8, 128, 32, 46), (8, 128, 38, 46), (4, 64, 58, 46), (4, 64, 62, 46), (8, 128, 34, 46), (8, 64, 58, 46), (4, 64, 74, 47), (4, 64, 76, 47)]",,,
9,1,32,128,65536,0.00390625,61.3,32.4,1.891,"[(8, 128, 60, 32), (8, 128, 58, 32), (8, 128, 62, 32), (8, 128, 64, 32), (4, 128, 58, 34), (4, 128, 64, 34), (4, 128, 62, 34), (4, 128, 60, 34), (8, 64, 60, 35), (8, 64, 58, 35)]",,,
9,2,32,128,65536,0.00390625,137.5,57.7,2.384,"[(8, 128, 30, 57), (4, 64, 52, 58), (4, 128, 30, 59), (8, 64, 34, 60), (4, 128, 24, 61), (8, 64, 52, 61), (4, 64, 34, 61), (2, 64, 52, 62), (8, 128, 24, 62), (4, 64, 328, 63)]",,,
