batch_size,next_n,heads,index_dim,avg_kv_length,var_ratio,deepgemm_us,moreh_us,speedup,num_warp,chunkK,splitK
1,1,32,128,65536,0.00390625,8.8,11.2,0.784,2,64,-1
1,2,32,128,65536,0.00390625,12.0,14.7,0.818,4,64,410
2,1,32,128,65536,0.00390625,12.3,12.0,1.023,8,128,364
2,2,32,128,65536,0.00390625,32.9,22.4,1.467,4,64,170
3,1,32,128,65536,0.00390625,29.1,21.2,1.372,2,64,-1
3,2,32,128,65536,0.00390625,48.2,31.5,1.529,4,64,284
4,1,32,128,65536,0.00390625,27.5,24.8,1.109,2,64,-1
4,2,32,128,65536,0.00390625,58.6,35.7,1.642,4,64,126
5,1,32,128,65536,0.00390625,38.2,23.6,1.616,8,128,106
5,2,32,128,65536,0.00390625,68.1,42.0,1.619,8,128,-1
6,1,32,128,65536,0.00390625,45.4,29.3,1.551,8,64,94
6,2,32,128,65536,0.00390625,82.1,48.9,1.68,8,64,70
7,1,32,128,65536,0.00390625,48.0,28.3,1.699,8,128,36
7,2,32,128,65536,0.00390625,91.0,51.5,1.768,4,64,58
8,1,32,128,65536,0.00390625,59.3,38.3,1.548,2,64,-1
8,2,32,128,65536,0.00390625,101.9,46.3,2.2,8,128,36
9,1,32,128,65536,0.00390625,61.3,32.4,1.891,8,128,60
9,2,32,128,65536,0.00390625,137.5,57.7,2.384,8,128,30
10,1,32,128,65536,0.00390625,62.8,39.4,1.595,4,64,78
10,2,32,128,65536,0.00390625,113.0,65.3,1.731,4,128,30
11,1,32,128,65536,0.00390625,73.9,38.4,1.923,4,64,80
11,2,32,128,65536,0.00390625,166.3,66.0,2.518,4,64,40
12,1,32,128,65536,0.00390625,83.2,49.2,1.69,2,64,102
12,2,32,128,65536,0.00390625,167.8,85.0,1.973,4,64,34
13,1,32,128,65536,0.00390625,83.9,45.8,1.831,4,64,58
13,2,32,128,65536,0.00390625,175.2,78.4,2.235,4,64,46
14,1,32,128,65536,0.00390625,88.5,44.6,1.985,8,128,40
14,2,32,128,65536,0.00390625,169.9,89.5,1.899,4,64,30
15,1,32,128,65536,0.00390625,95.7,40.6,2.356,8,128,36
15,2,32,128,65536,0.00390625,174.4,93.1,1.872,8,128,40
16,1,32,128,65536,0.00390625,100.2,61.3,1.634,4,64,36
16,2,32,128,65536,0.00390625,214.9,73.5,2.926,4,64,36
