batch_size,next_n,heads,index_dim,avg_kv_length,var_ratio,deepgemm_us,moreh_us,speedup,top_configs
6,1,32,128,65536,0.00390625,45.4,29.3,1.551,"[(8, 64, 94, 29), (8, 128, 86, 31), (8, 128, 98, 31), (8, 128, 96, 31), (2, 64, -1, 31), (2, 64, 138, 32), (4, 64, 152, 32), (4, 64, 90, 33), (4, 64, 98, 33), (8, 64, 494, 33)]"
6,2,32,128,65536,0.00390625,82.1,48.9,1.68,"[(8, 64, 70, 48), (8, 64, 72, 49), (8, 64, 68, 49), (2, 64, -1, 51), (8, 64, -1, 51), (4, 64, 66, 52), (4, 64, 78, 52), (4, 64, 48, 52), (4, 64, 70, 52), (8, 128, 44, 52)]"
14,1,32,128,65536,0.00390625,88.5,44.6,1.985,"[(8, 128, 40, 44), (8, 128, 42, 46), (8, 64, 40, 47), (4, 128, 40, 47), (4, 128, 42, 47), (4, 64, 40, 47), (4, 64, 64, 47), (8, 64, 64, 49), (4, 64, 62, 49), (8, 64, 62, 51)]"
14,2,32,128,65536,0.00390625,169.9,89.5,1.899,"[(4, 64, 30, 89), (8, 64, 30, 92), (8, 128, 36, 93), (4, 128, 36, 93), (8, 128, 42, 93), (4, 64, 90, 94), (8, 128, 40, 94), (4, 64, 88, 94), (4, 64, 70, 95), (4, 64, 26, 95)]"
