batch_size,next_n,heads,index_dim,avg_kv_length,var_ratio,deepgemm_us,moreh_us,speedup,num_warp,chunkK,splitK
1,1,32,128,65536,0.00390625,9.3,10.4,0.899,2,64,-1
1,2,32,128,65536,0.00390625,12.2,14.7,0.827,4,64,904
2,1,32,128,65536,0.00390625,12.1,14.3,0.848,8,256,232
2,2,32,128,65536,0.00390625,30.6,23.0,1.328,4,128,144
3,1,32,128,65536,0.00390625,28.3,19.3,1.468,8,256,112
3,2,32,128,65536,0.00390625,42.0,31.4,1.336,2,64,-1
4,1,32,128,65536,0.00390625,32.0,22.5,1.422,8,128,152
4,2,32,128,65536,0.00390625,58.5,37.8,1.548,2,64,-1
5,1,32,128,65536,0.00390625,43.5,27.5,1.581,8,128,112
5,2,32,128,65536,0.00390625,68.6,42.7,1.605,4,64,-1
6,1,32,128,65536,0.00390625,46.6,31.4,1.484,2,64,-1
6,2,32,128,65536,0.00390625,81.1,50.7,1.6,4,64,424
7,1,32,128,65536,0.00390625,48.1,31.6,1.521,4,64,144
7,2,32,128,65536,0.00390625,85.8,55.2,1.553,4,64,288
8,1,32,128,65536,0.00390625,59.4,36.0,1.651,4,128,72
8,2,32,128,65536,0.00390625,101.1,46.4,2.179,4,64,64
