batch_size,next_n,heads,index_dim,avg_kv_length,var_ratio,deepgemm_us,moreh_us,speedup,top_configs
5,1,32,128,65536,0.00390625,43.5,27.5,1.581,"[(8, 128, 112, 27), (8, 64, 64, 27), (8, 128, 128, 27), (8, 128, -1, 27), (8, 128, 120, 27), (2, 64, -1, 27), (8, 128, 104, 27), (4, 128, -1, 27), (4, 64, 104, 27), (4, 128, 112, 28)]"
5,2,32,128,65536,0.00390625,68.6,42.7,1.605,"[(4, 64, -1, 42), (4, 64, 56, 43), (2, 64, -1, 43), (4, 128, 64, 44), (8, 128, 64, 44), (8, 64, -1, 44), (8, 128, 48, 44), (8, 64, 56, 44), (4, 128, -1, 44), (8, 128, -1, 44)]"
