batch_size,next_n,heads,index_dim,avg_kv_length,var_ratio,deepgemm_us,moreh_us,speedup,top_configs,num_warp,chunkK,splitK
1,1,32,128,65536,0.00390625,9.3,10.4,0.899,"[(2, 64, -1, 10), (8, 128, 344, 10), (8, 128, 304, 11), (8, 128, 472, 11), (8, 128, 336, 11), (8, 128, 384, 11), (8, 128, 328, 11), (8, 128, 360, 11), (8, 128, 296, 11), (8, 128, 432, 11)]",,,
1,2,32,128,65536,0.00390625,12.2,14.7,0.827,"[(4, 64, 904, 14), (4, 64, 912, 14), (4, 64, 512, 14), (4, 64, 928, 14), (4, 64, 920, 14), (4, 64, 536, 14), (4, 64, 792, 14), (4, 64, 528, 14), (4, 64, 552, 14), (4, 64, 520, 14)]",,,
2,1,32,128,65536,0.00390625,12.1,14.3,0.848,"[(8, 256, 232, 14), (8, 256, 240, 14), (8, 64, 336, 15), (8, 256, 184, 15), (8, 128, 160, 15), (8, 256, 160, 15), (8, 128, 408, 15), (8, 256, 216, 15), (8, 256, 248, 15), (8, 128, 496, 15)]",,,
2,2,32,128,65536,0.00390625,30.6,23.0,1.328,"[(4, 128, 144, 23), (4, 128, 112, 23), (2, 64, -1, 24), (4, 64, 1000, 24), (4, 64, 1008, 24), (4, 64, 992, 24), (4, 128, 88, 26), (4, 64, 152, 26), (4, 64, 160, 26), (4, 64, 232, 26)]",,,
3,1,32,128,65536,0.00390625,28.3,19.3,1.468,"[(8, 256, 112, 19), (8, 64, 200, 19), (8, 64, 192, 19), (8, 64, 240, 20), (8, 64, 224, 20), (2, 64, -1, 21), (8, 256, 80, 21), (8, 256, 72, 21), (8, 128, 456, 21), (8, 128, 464, 21)]",,,
3,2,32,128,65536,0.00390625,42.0,31.4,1.336,"[(2, 64, -1, 31), (4, 64, 144, 32), (2, 64, 144, 32), (4, 64, 192, 32), (4, 64, 160, 32), (8, 128, 88, 33), (2, 64, 200, 33), (4, 64, -1, 33), (8, 64, 136, 33), (8, 128, 96, 33)]",,,
4,1,32,128,65536,0.00390625,32.0,22.5,1.422,"[(8, 128, 152, 22), (8, 128, 104, 23), (8, 128, 112, 23), (8, 128, 120, 23), (2, 64, -1, 24), (4, 64, 168, 26), (8, 128, 144, 26), (8, 256, 208, 26), (4, 64, -1, 26), (8, 128, 160, 26)]",,,
4,2,32,128,65536,0.00390625,58.5,37.8,1.548,"[(2, 64, -1, 37), (4, 64, 72, 39), (4, 64, 656, 39), (4, 64, 648, 39), (8, 64, 216, 39), (4, 64, 664, 39), (4, 64, 912, 40), (4, 64, 64, 40), (8, 128, 72, 40), (4, 64, 904, 40)]",,,
5,1,32,128,65536,0.00390625,43.5,27.5,1.581,"[(8, 128, 112, 27), (8, 64, 64, 27), (8, 128, 128, 27), (8, 128, -1, 27), (8, 128, 120, 27), (2, 64, -1, 27), (8, 128, 104, 27), (4, 128, -1, 27), (4, 64, 104, 27), (4, 128, 112, 28)]",,,
5,2,32,128,65536,0.00390625,68.6,42.7,1.605,"[(4, 64, -1, 42), (4, 64, 56, 43), (2, 64, -1, 43), (4, 128, 64, 44), (8, 128, 64, 44), (8, 64, -1, 44), (8, 128, 48, 44), (8, 64, 56, 44), (4, 128, -1, 44), (8, 128, -1, 44)]",,,
6,1,32,128,65536,0.00390625,46.6,31.4,1.484,"[(2, 64, -1, 31), (4, 64, 1016, 32), (4, 64, 1024, 32), (4, 64, 856, 32), (4, 64, 848, 32), (4, 64, -1, 32), (8, 128, 88, 33), (8, 64, 496, 33), (8, 64, 480, 33), (8, 64, 448, 33)]",,,
6,2,32,128,65536,0.00390625,81.1,50.7,1.6,"[(4, 64, 424, 50), (4, 64, 432, 50), (4, 64, 416, 51), (2, 64, -1, 51), (4, 64, 48, 52), (4, 64, -1, 52), (4, 64, 56, 52), (4, 64, 64, 53), (4, 128, 40, 53), (4, 64, 440, 53)]",,,
7,1,32,128,65536,0.00390625,48.1,31.6,1.521,"[(4, 64, 144, 31), (4, 64, 136, 31), (2, 64, 144, 32), (2, 64, 136, 32), (8, 64, 144, 32), (8, 64, 136, 33), (2, 64, -1, 33), (8, 256, 40, 34), (4, 256, 40, 34), (8, 128, 136, 34)]",,,
7,2,32,128,65536,0.00390625,85.8,55.2,1.553,"[(4, 64, 288, 55), (4, 64, 72, 55), (8, 128, 120, 55), (2, 64, 88, 55), (8, 64, 40, 55), (8, 128, 40, 55), (4, 64, 40, 55), (4, 128, 40, 56), (2, 64, -1, 56), (2, 64, 72, 56)]",,,
8,1,32,128,65536,0.00390625,59.4,36.0,1.651,"[(4, 128, 72, 35), (8, 64, 168, 37), (4, 64, 504, 37), (4, 64, 496, 38), (2, 64, -1, 38), (8, 64, 328, 38), (4, 128, 48, 39), (4, 64, 112, 39), (4, 64, 72, 39), (4, 64, 704, 39)]",,,
8,2,32,128,65536,0.00390625,101.1,46.4,2.179,"[(4, 64, 64, 46), (4, 64, 56, 46), (4, 64, 72, 47), (8, 128, 32, 47), (8, 64, 72, 48), (4, 64, 48, 48), (2, 64, 72, 49), (8, 64, 56, 49), (4, 128, 32, 49), (4, 64, 120, 49)]",,,
