batch_size,next_n,heads,index_dim,avg_kv_length,var_ratio,deepgemm_us,moreh_us,speedup,top_configs
6,1,32,128,65536,0.00390625,46.8,31.4,1.489,"[(4, 64, 376, 31), (4, 64, 384, 31), (4, 64, 368, 31), (4, 64, 360, 31), (2, 64, -1, 32), (4, 64, -1, 32), (4, 64, 96, 32), (4, 64, 952, 33), (8, 128, 88, 33), (4, 64, 808, 33)]"
6,2,32,128,65536,0.00390625,79.7,52.1,1.529,"[(8, 64, -1, 52), (4, 64, -1, 52), (8, 64, 48, 52), (4, 64, 72, 52), (2, 64, -1, 52), (4, 64, 48, 53), (2, 64, 72, 53), (8, 64, 64, 53), (4, 128, -1, 54), (4, 64, 64, 54)]"
14,1,32,128,65536,0.00390625,90.8,45.1,2.015,"[(4, 128, 40, 45), (8, 128, 40, 45), (8, 64, 40, 46), (4, 64, 40, 48), (4, 64, 88, 50), (2, 64, 88, 51), (4, 64, 136, 51), (8, 64, 88, 51), (4, 64, 64, 52), (8, 64, 144, 52)]"
14,2,32,128,65536,0.00390625,169.7,91.7,1.85,"[(2, 64, 40, 91), (4, 64, 32, 92), (4, 128, 40, 93), (8, 64, -1, 93), (8, 64, 32, 94), (4, 128, -1, 94), (8, 128, 40, 94), (2, 64, 32, 96), (4, 64, 40, 96), (4, 64, -1, 96)]"
