batch_size,next_n,heads,index_dim,avg_kv_length,var_ratio,deepgemm_us,moreh_us,speedup,top_configs
2,1,32,128,65536,0.00390625,14.2,15.0,0.947,"[(8, 128, 312, 14), (8, 128, 320, 15), (8, 128, 296, 15), (8, 128, 344, 15), (8, 128, 288, 15), (8, 128, 104, 15), (8, 128, 128, 15), (8, 128, 112, 15), (8, 128, 120, 15), (8, 256, 216, 16)]"
2,2,32,128,65536,0.00390625,27.4,25.2,1.087,"[(2, 64, -1, 25), (4, 64, 168, 26), (8, 64, -1, 26), (4, 64, 152, 26), (8, 128, 168, 26), (4, 64, 144, 26), (8, 64, 168, 26), (8, 64, 136, 26), (4, 64, 208, 26), (8, 64, 240, 26)]"
10,1,32,128,65536,0.00390625,62.9,38.0,1.655,"[(8, 256, 32, 37), (8, 128, 56, 39), (4, 128, 56, 41), (4, 64, 328, 43), (4, 64, 272, 44), (4, 64, -1, 44), (4, 64, 288, 44), (4, 64, 312, 45), (4, 64, 296, 45), (4, 64, 320, 45)]"
10,2,32,128,65536,0.00390625,111.1,69.8,1.592,"[(8, 128, -1, 69), (4, 128, -1, 69), (4, 64, 40, 70), (8, 64, 40, 70), (8, 128, 24, 72), (2, 64, 40, 72), (8, 64, -1, 73), (4, 128, 24, 73), (4, 128, 64, 74), (4, 64, 112, 74)]"
