batch_size,next_n,heads,index_dim,avg_kv_length,var_ratio,deepgemm_us,moreh_us,speedup,top_configs,num_warp,chunkK,splitK
1,1,32,128,65536,0.00390625,8.8,12.0,0.727,"[(8, 128, 328, 12), (8, 256, 257, 12), (8, 128, 264, 12), (2, 64, -1, 12), (8, 128, 408, 12), (8, 128, 336, 12), (8, 128, 344, 12), (8, 128, 352, 12), (8, 128, 392, 12), (8, 128, 472, 12)]",,,
1,2,32,128,65536,0.00390625,12.9,13.6,0.948,"[(4, 64, 496, 13), (4, 64, 472, 13), (4, 64, 528, 13), (4, 64, 320, 13), (4, 64, 312, 13), (4, 64, 304, 14), (4, 64, 504, 14), (4, 64, 920, 16), (4, 64, 976, 16), (4, 64, 736, 16)]",,,
2,1,32,128,65536,0.00390625,14.2,15.0,0.947,"[(8, 128, 312, 14), (8, 128, 320, 15), (8, 128, 296, 15), (8, 128, 344, 15), (8, 128, 288, 15), (8, 128, 104, 15), (8, 128, 128, 15), (8, 128, 112, 15), (8, 128, 120, 15), (8, 256, 216, 16)]",,,
2,2,32,128,65536,0.00390625,27.4,25.2,1.087,"[(2, 64, -1, 25), (4, 64, 168, 26), (8, 64, -1, 26), (4, 64, 152, 26), (8, 128, 168, 26), (4, 64, 144, 26), (8, 64, 168, 26), (8, 64, 136, 26), (4, 64, 208, 26), (8, 64, 240, 26)]",,,
3,1,32,128,65536,0.00390625,28.5,19.6,1.453,"[(8, 128, -1, 19), (8, 64, 304, 20), (8, 64, 280, 20), (8, 64, 288, 20), (8, 128, 152, 20), (8, 128, 144, 20), (8, 64, 512, 20), (8, 64, 472, 20), (8, 64, 480, 20), (2, 64, -1, 21)]",,,
3,2,32,128,65536,0.00390625,46.6,29.3,1.591,"[(8, 128, 96, 29), (8, 128, 80, 30), (2, 64, -1, 32), (4, 64, 88, 33), (8, 64, 96, 33), (4, 64, 96, 33), (8, 64, -1, 33), (8, 128, 56, 33), (4, 64, -1, 33), (4, 64, 168, 34)]",,,
4,1,32,128,65536,0.00390625,31.8,23.2,1.367,"[(8, 64, 216, 23), (2, 64, -1, 24), (8, 128, 64, 25), (8, 128, 56, 26), (8, 128, 264, 26), (8, 128, 48, 26), (4, 64, 160, 26), (8, 64, 408, 26), (8, 64, 400, 26), (8, 64, 152, 26)]",,,
4,2,32,128,65536,0.00390625,53.7,36.2,1.482,"[(8, 64, 112, 36), (8, 64, 96, 36), (8, 64, 104, 36), (2, 64, -1, 38), (8, 128, 152, 38), (8, 64, 264, 39), (8, 128, 168, 39), (8, 64, 320, 39), (8, 64, 296, 39), (8, 64, 288, 39)]",,,
5,1,32,128,65536,0.00390625,39.7,25.9,1.535,"[(4, 128, -1, 25), (8, 128, -1, 26), (4, 64, 112, 27), (8, 64, 256, 27), (8, 128, 128, 27), (8, 64, 232, 27), (8, 64, 104, 27), (4, 64, 104, 27), (8, 128, 120, 27), (8, 128, 112, 27)]",,,
5,2,32,128,65536,0.00390625,69.8,42.5,1.641,"[(4, 64, -1, 42), (4, 64, 64, 42), (8, 128, 48, 43), (8, 64, 64, 43), (8, 128, -1, 43), (2, 64, -1, 43), (4, 128, -1, 43), (8, 64, -1, 43), (8, 128, 64, 44), (4, 64, 96, 44)]",,,
