batch_size,next_n,heads,index_dim,avg_kv_length,var_ratio,deepgemm_us,moreh_us,speedup,top_configs
7,1,32,128,65536,0.00390625,49.0,32.4,1.511,"[(4, 64, 144, 32), (4, 64, 136, 32), (8, 64, 136, 32), (2, 64, 136, 33), (4, 64, 200, 33), (8, 64, 144, 33), (2, 64, 144, 33), (8, 256, 40, 34), (8, 128, 144, 34), (8, 128, 168, 34)]"
7,2,32,128,65536,0.00390625,89.6,52.1,1.721,"[(4, 64, 72, 52), (8, 64, 72, 53), (4, 128, 40, 54), (2, 64, 72, 54), (8, 128, 104, 55), (8, 128, 128, 56), (4, 64, 128, 56), (4, 64, 120, 56), (4, 64, 248, 56), (4, 64, 216, 56)]"
15,1,32,128,65536,0.00390625,95.3,47.3,2.016,"[(8, 64, 80, 47), (4, 64, 80, 47), (2, 64, 80, 51), (8, 64, 144, 54), (8, 64, 136, 54), (4, 64, 136, 55), (8, 256, 40, 56), (8, 256, -1, 56), (4, 64, 144, 56), (4, 64, -1, 56)]"
15,2,32,128,65536,0.00390625,178.0,84.1,2.117,"[(2, 64, 40, 84), (4, 64, 40, 87), (4, 128, 40, 90), (8, 64, 40, 91), (8, 128, 40, 91), (8, 128, 64, 96), (4, 64, 72, 98), (2, 64, 72, 99), (8, 128, 16, 99), (4, 128, 64, 99)]"
