batch_size,next_n,heads,index_dim,avg_kv_length,var_ratio,deepgemm_us,moreh_us,speedup,top_configs
8,1,32,128,65536,0.00390625,56.2,29.2,1.922,"[(4, 64, 96, 29), (4, 64, 104, 29), (4, 64, 88, 29), (4, 64, 208, 31), (4, 64, 216, 31), (2, 64, -1, 32), (4, 64, 544, 32), (4, 64, 664, 33), (4, 64, 696, 33), (4, 64, 656, 33)]"
16,1,32,128,65536,0.00390625,103.3,53.5,1.931,"[(4, 64, 48, 53), (2, 64, 56, 53), (4, 64, 56, 54), (8, 128, 32, 54), (4, 128, 32, 54), (2, 64, 48, 54), (8, 64, 32, 55), (4, 64, -1, 55), (4, 64, 32, 55), (8, 64, 56, 55)]"
24,1,32,128,65536,0.00390625,205.0,79.1,2.591,"[(4, 64, -1, 79), (8, 64, 32, 79), (4, 128, 24, 79), (8, 64, 24, 79), (4, 64, 24, 80), (4, 64, 32, 80), (2, 128, 24, 81), (2, 64, -1, 81), (8, 128, 24, 81), (4, 64, 88, 82)]"
32,1,32,128,65536,0.00390625,263.8,94.4,2.795,"[(8, 64, 16, 94), (4, 64, 16, 98), (4, 64, 24, 103), (4, 64, -1, 103), (8, 64, 24, 104), (2, 64, 24, 104), (4, 128, 16, 104), (8, 128, 16, 105), (4, 64, 320, 105), (4, 64, 336, 105)]"
