batch_size,next_n,heads,index_dim,avg_kv_length,var_ratio,deepgemm_us,moreh_us,speedup,top_configs
6,1,32,128,65536,0.00390625,44.2,22.7,1.947,"[(8, 128, 96, 22), (4, 64, 160, 22), (8, 128, 88, 22), (8, 128, -1, 22), (2, 64, 152, 23), (2, 64, 160, 23), (8, 64, 96, 23), (8, 128, 80, 23), (8, 64, 88, 23), (8, 64, -1, 23)]"
14,1,32,128,65536,0.00390625,93.0,37.5,2.477,"[(4, 64, 88, 37), (8, 128, 40, 37), (4, 128, 40, 38), (8, 128, 88, 40), (8, 128, 96, 40), (2, 64, 88, 41), (4, 128, 88, 42), (4, 128, 96, 42), (8, 64, 88, 43), (8, 128, 72, 44)]"
22,1,32,128,65536,0.00390625,198.8,54.3,3.661,"[(8, 64, 40, 54), (4, 64, 40, 54), (4, 64, 88, 56), (8, 64, 88, 58), (8, 128, 40, 61), (2, 64, 88, 62), (2, 64, 40, 62), (4, 128, 40, 65), (4, 64, 32, 69), (8, 64, 32, 69)]"
30,1,32,128,65536,0.00390625,184.1,64.3,2.862,"[(4, 64, 40, 64), (8, 64, 40, 65), (2, 64, 40, 69), (4, 128, 40, 72), (8, 128, 40, 72), (4, 64, 24, 88), (2, 128, 40, 88), (4, 64, 144, 88), (4, 64, 136, 88), (8, 64, 24, 91)]"
