batch_size,next_n,heads,index_dim,avg_kv_length,var_ratio,deepgemm_us,moreh_us,speedup,num_warp,chunkK,splitK
5,1,32,128,65536,0.00390625,42.0,20.2,2.08,2,64,240
13,1,32,128,65536,0.00390625,84.9,42.4,2.005,8,128,120
21,1,32,128,65536,0.00390625,152.9,50.8,3.01,4,64,104
29,1,32,128,65536,0.00390625,185.3,70.1,2.642,4,64,112
