batch_size,next_n,heads,index_dim,avg_kv_length,var_ratio,deepgemm_us,moreh_us,speedup,top_configs
4,1,32,128,65536,0.00390625,30.4,16.3,1.867,"[(4, 64, -1, 16), (4, 64, 168, 16), (4, 64, 160, 16), (4, 64, 152, 16), (8, 128, 160, 16), (8, 128, -1, 16), (8, 128, 136, 16), (8, 128, 144, 16), (8, 128, 168, 16), (4, 64, 216, 16)]"
12,1,32,128,65536,0.00390625,82.3,42.6,1.935,"[(4, 64, 336, 42), (4, 64, 320, 43), (4, 64, 512, 43), (4, 64, 304, 43), (4, 64, 328, 43), (4, 64, 488, 44), (2, 64, -1, 45), (4, 64, -1, 45), (8, 64, 64, 45), (8, 64, -1, 45)]"
20,1,32,128,65536,0.00390625,125.8,62.1,2.025,"[(4, 128, -1, 62), (4, 64, 64, 62), (2, 64, 64, 62), (8, 64, 64, 62), (8, 128, -1, 65), (2, 64, 56, 66), (8, 64, -1, 67), (8, 64, 40, 67), (8, 128, 24, 67), (8, 64, 32, 67)]"
28,1,32,128,65536,0.00390625,174.7,70.1,2.49,"[(4, 128, -1, 70), (8, 64, 32, 71), (4, 64, 32, 71), (8, 128, -1, 72), (8, 64, -1, 75), (2, 64, 32, 79), (4, 64, -1, 81), (2, 128, -1, 85), (2, 64, 40, 88), (4, 64, 216, 91)]"
