batch_size,next_n,heads,index_dim,avg_kv_length,var_ratio,deepgemm_us,moreh_us,speedup,top_configs
1,1,32,128,65536,0.00390625,8.9,10.6,0.836,"[(8, 128, 352, 10), (2, 64, -1, 11), (8, 128, 440, 11), (8, 128, 464, 11), (8, 128, 432, 11), (8, 128, 408, 11), (8, 128, 424, 11), (8, 128, 448, 11), (8, 128, 496, 11), (8, 128, 400, 11)]"
1,2,32,128,65536,0.00390625,12.9,14.4,0.894,"[(4, 64, 488, 14), (4, 64, 456, 14), (4, 64, 464, 14), (4, 64, 296, 14), (4, 64, 504, 14), (4, 64, 288, 14), (2, 64, 728, 14), (2, 64, 896, 14), (2, 64, 928, 14), (2, 64, 920, 14)]"
9,1,32,128,65536,0.00390625,61.7,34.2,1.805,"[(8, 128, 64, 34), (4, 64, 104, 39), (4, 128, 64, 39), (4, 64, 96, 40), (4, 64, 112, 40), (8, 64, 56, 40), (8, 64, 104, 41), (8, 64, 112, 41), (8, 64, 64, 41), (8, 64, 152, 42)]"
9,2,32,128,65536,0.00390625,138.9,62.9,2.209,"[(8, 128, 24, 62), (4, 64, 120, 64), (4, 64, 128, 65), (4, 64, 144, 65), (8, 64, 120, 65), (4, 64, 136, 66), (8, 64, 128, 67), (8, 128, 56, 67), (4, 64, 312, 67), (4, 64, 336, 67)]"
