batch_size,next_n,heads,index_dim,avg_kv_length,var_ratio,deepgemm_us,moreh_us,speedup,top_configs
8,1,32,128,65536,0.00390625,59.8,38.7,1.544,"[(4, 64, 440, 38), (4, 64, 432, 38), (4, 64, 464, 38), (4, 64, 408, 38), (4, 64, 240, 39), (8, 128, 64, 39), (4, 64, 712, 39), (8, 128, -1, 39), (4, 64, 688, 39), (4, 64, 720, 39)]"
8,2,32,128,65536,0.00390625,100.3,48.7,2.059,"[(4, 64, 72, 48), (4, 64, 56, 48), (8, 64, 56, 49), (8, 128, 32, 50), (8, 64, 72, 50), (4, 64, 64, 50), (8, 64, 48, 51), (4, 64, 160, 52), (8, 64, 64, 52), (4, 64, 152, 52)]"
16,1,32,128,65536,0.00390625,99.1,61.0,1.625,"[(8, 128, 32, 60), (8, 64, 48, 61), (8, 64, 56, 62), (4, 64, -1, 62), (4, 64, 56, 63), (4, 64, 48, 63), (2, 64, 72, 63), (4, 64, 72, 63), (4, 64, 160, 63), (4, 64, 40, 63)]"
16,2,32,128,65536,0.00390625,211.3,81.2,2.603,"[(8, 64, 32, 81), (4, 64, 72, 82), (8, 128, 16, 83), (8, 64, 64, 83), (8, 64, 72, 83), (4, 64, 32, 83), (8, 64, 24, 84), (4, 64, 128, 85), (4, 64, 104, 85), (4, 64, 120, 86)]"
