batch_size,next_n,heads,index_dim,avg_kv_length,var_ratio,deepgemm_us,moreh_us,speedup,num_warp,chunkK,splitK
1,1,32,128,65536,0.00390625,8.9,10.6,0.836,8,128,352
1,2,32,128,65536,0.00390625,12.9,14.4,0.894,4,64,488
2,1,32,128,65536,0.00390625,12.1,12.6,0.964,8,128,360
2,2,32,128,65536,0.00390625,32.7,23.4,1.398,8,64,168
3,1,32,128,65536,0.00390625,25.9,19.4,1.34,8,128,176
3,2,32,128,65536,0.00390625,46.0,30.5,1.51,8,64,120
4,1,32,128,65536,0.00390625,32.8,27.2,1.203,4,64,256
4,2,32,128,65536,0.00390625,59.1,36.1,1.636,8,64,72
5,1,32,128,65536,0.00390625,43.3,27.0,1.603,8,128,104
5,2,32,128,65536,0.00390625,70.5,42.2,1.67,4,64,104
6,1,32,128,65536,0.00390625,42.5,28.7,1.477,8,128,-1
6,2,32,128,65536,0.00390625,81.7,51.6,1.582,4,64,64
7,1,32,128,65536,0.00390625,49.0,30.2,1.621,4,64,136
7,2,32,128,65536,0.00390625,90.0,54.1,1.663,8,64,64
8,1,32,128,65536,0.00390625,59.8,38.7,1.544,4,64,440
8,2,32,128,65536,0.00390625,100.3,48.7,2.059,4,64,72
9,1,32,128,65536,0.00390625,61.7,34.2,1.805,8,128,64
9,2,32,128,65536,0.00390625,138.9,62.9,2.209,8,128,24
10,1,32,128,65536,0.00390625,64.0,42.5,1.507,8,256,32
10,2,32,128,65536,0.00390625,111.0,66.7,1.663,8,128,-1
11,1,32,128,65536,0.00390625,72.1,43.6,1.654,8,64,80
11,2,32,128,65536,0.00390625,166.7,65.7,2.535,8,64,40
12,1,32,128,65536,0.00390625,81.3,48.8,1.666,8,64,48
12,2,32,128,65536,0.00390625,167.3,86.6,1.932,8,128,24
13,1,32,128,65536,0.00390625,83.2,50.3,1.652,8,128,104
13,2,32,128,65536,0.00390625,173.3,87.0,1.991,8,128,64
14,1,32,128,65536,0.00390625,90.8,47.3,1.92,8,128,40
14,2,32,128,65536,0.00390625,169.0,91.2,1.853,8,64,32
15,1,32,128,65536,0.00390625,88.2,51.4,1.714,4,64,144
15,2,32,128,65536,0.00390625,178.9,81.5,2.196,4,64,40
16,1,32,128,65536,0.00390625,99.1,61.0,1.625,8,128,32
16,2,32,128,65536,0.00390625,211.3,81.2,2.603,8,64,32
