batch_size,next_n,heads,index_dim,avg_kv_length,var_ratio,deepgemm_us,moreh_us,speedup,top_configs
7,1,32,128,65536,0.00390625,49.0,30.2,1.621,"[(4, 64, 136, 30), (4, 64, 200, 31), (4, 64, 120, 31), (4, 64, 128, 32), (4, 64, 112, 32), (4, 64, 152, 33), (8, 128, 144, 33), (4, 64, 144, 33), (8, 64, 144, 34), (8, 64, 136, 34)]"
7,2,32,128,65536,0.00390625,90.0,54.1,1.663,"[(8, 64, 64, 54), (8, 128, 40, 55), (4, 64, 72, 55), (8, 64, 56, 55), (4, 64, 56, 55), (4, 64, 160, 56), (4, 64, 168, 56), (4, 64, 88, 56), (4, 64, 64, 56), (8, 64, 72, 56)]"
15,1,32,128,65536,0.00390625,88.2,51.4,1.714,"[(4, 64, 144, 51), (4, 64, 136, 51), (8, 64, 144, 52), (8, 64, 136, 52), (8, 128, 144, 55), (8, 128, 168, 56), (8, 128, 152, 57), (8, 128, -1, 57), (8, 256, 40, 57), (8, 128, 160, 57)]"
15,2,32,128,65536,0.00390625,178.9,81.5,2.196,"[(4, 64, 40, 81), (8, 64, 40, 84), (8, 128, 40, 86), (8, 128, 64, 96), (4, 64, 72, 97), (8, 64, 72, 97), (2, 64, 40, 98), (8, 64, 24, 99), (4, 64, 104, 100), (4, 64, 120, 100)]"
