batch_size,next_n,heads,index_dim,avg_kv_length,var_ratio,deepgemm_us,moreh_us,speedup,top_configs
4,1,32,128,65536,0.00390625,32.8,27.2,1.203,"[(4, 64, 256, 27), (8, 128, 160, 27), (4, 64, 192, 27), (4, 64, 152, 27), (8, 256, 208, 27), (4, 64, 208, 27), (8, 256, 184, 27), (8, 256, 200, 27), (8, 256, 240, 27), (4, 64, 176, 27)]"
4,2,32,128,65536,0.00390625,59.1,36.1,1.636,"[(8, 64, 72, 36), (8, 64, 56, 38), (4, 64, 152, 39), (4, 64, 104, 39), (4, 64, 120, 39), (4, 64, 128, 39), (2, 64, 160, 39), (8, 64, 216, 39), (8, 64, 208, 39), (8, 128, 72, 39)]"
12,1,32,128,65536,0.00390625,81.3,48.8,1.666,"[(8, 64, 48, 48), (8, 64, 56, 50), (8, 64, 88, 50), (4, 64, 96, 50), (8, 64, 80, 51), (4, 64, 64, 51), (2, 64, 96, 51), (4, 64, 88, 52), (8, 128, 200, 52), (8, 128, 216, 52)]"
12,2,32,128,65536,0.00390625,167.3,86.6,1.932,"[(8, 128, 24, 86), (4, 64, 32, 86), (4, 64, -1, 86), (4, 64, 40, 87), (8, 64, 24, 87), (8, 64, 32, 87), (8, 64, -1, 87), (4, 128, 24, 88), (4, 64, 48, 88), (4, 64, 168, 88)]"
