batch_size,next_n,heads,index_dim,avg_kv_length,var_ratio,deepgemm_us,moreh_us,speedup,top_configs
2,1,32,128,65536,0.00390625,12.1,12.6,0.964,"[(8, 128, 360, 12), (8, 128, 368, 12), (8, 128, 344, 13), (8, 128, 352, 13), (8, 128, 168, 13), (8, 128, 160, 13), (8, 128, 152, 13), (8, 128, 176, 14), (8, 128, 264, 16), (8, 128, 216, 16)]"
2,2,32,128,65536,0.00390625,32.7,23.4,1.398,"[(8, 64, 168, 23), (8, 64, 224, 23), (8, 64, 192, 24), (8, 64, 200, 24), (2, 64, 216, 24), (4, 64, 256, 26), (8, 128, 136, 26), (8, 128, 160, 26), (8, 128, 168, 26), (4, 64, 168, 26)]"
10,1,32,128,65536,0.00390625,64.0,42.5,1.507,"[(8, 256, 32, 42), (8, 128, 56, 43), (8, 128, 32, 44), (8, 64, 56, 45), (4, 64, 88, 45), (4, 64, 128, 45), (4, 128, -1, 45), (4, 128, 56, 45), (4, 64, 112, 45), (4, 128, 64, 45)]"
10,2,32,128,65536,0.00390625,111.0,66.7,1.663,"[(8, 128, -1, 66), (8, 128, 24, 68), (4, 64, 48, 72), (4, 64, 40, 72), (4, 128, -1, 72), (8, 64, 40, 72), (8, 128, 64, 73), (8, 128, 56, 73), (4, 64, 120, 73), (4, 64, 128, 73)]"
