batch_size,next_n,heads,index_dim,avg_kv_length,var_ratio,deepgemm_us,moreh_us,speedup,top_configs,num_warp,chunkK,splitK
1,1,32,128,65536,0.00390625,8.9,10.6,0.836,"[(8, 128, 352, 10), (2, 64, -1, 11), (8, 128, 440, 11), (8, 128, 464, 11), (8, 128, 432, 11), (8, 128, 408, 11), (8, 128, 424, 11), (8, 128, 448, 11), (8, 128, 496, 11), (8, 128, 400, 11)]",,,
1,2,32,128,65536,0.00390625,12.9,14.4,0.894,"[(4, 64, 488, 14), (4, 64, 456, 14), (4, 64, 464, 14), (4, 64, 296, 14), (4, 64, 504, 14), (4, 64, 288, 14), (2, 64, 728, 14), (2, 64, 896, 14), (2, 64, 928, 14), (2, 64, 920, 14)]",,,
2,1,32,128,65536,0.00390625,12.1,12.6,0.964,"[(8, 128, 360, 12), (8, 128, 368, 12), (8, 128, 344, 13), (8, 128, 352, 13), (8, 128, 168, 13), (8, 128, 160, 13), (8, 128, 152, 13), (8, 128, 176, 14), (8, 128, 264, 16), (8, 128, 216, 16)]",,,
2,2,32,128,65536,0.00390625,32.7,23.4,1.398,"[(8, 64, 168, 23), (8, 64, 224, 23), (8, 64, 192, 24), (8, 64, 200, 24), (2, 64, 216, 24), (4, 64, 256, 26), (8, 128, 136, 26), (8, 128, 160, 26), (8, 128, 168, 26), (4, 64, 168, 26)]",,,
3,1,32,128,65536,0.00390625,25.9,19.4,1.34,"[(8, 128, 176, 19), (8, 128, 160, 20), (8, 64, 424, 20), (8, 128, 328, 21), (8, 128, 280, 21), (8, 128, 296, 21), (8, 128, 304, 21), (8, 128, 264, 21), (8, 128, 288, 21), (8, 128, 312, 22)]",,,
3,2,32,128,65536,0.00390625,46.0,30.5,1.51,"[(8, 64, 120, 30), (8, 64, 88, 30), (8, 64, 80, 31), (8, 64, 104, 31), (4, 64, 152, 32), (4, 64, 160, 33), (4, 64, 144, 33), (4, 64, 168, 33), (8, 64, 96, 33), (4, 128, 96, 33)]",,,
4,1,32,128,65536,0.00390625,32.8,27.2,1.203,"[(4, 64, 256, 27), (8, 128, 160, 27), (4, 64, 192, 27), (4, 64, 152, 27), (8, 256, 208, 27), (4, 64, 208, 27), (8, 256, 184, 27), (8, 256, 200, 27), (8, 256, 240, 27), (4, 64, 176, 27)]",,,
4,2,32,128,65536,0.00390625,59.1,36.1,1.636,"[(8, 64, 72, 36), (8, 64, 56, 38), (4, 64, 152, 39), (4, 64, 104, 39), (4, 64, 120, 39), (4, 64, 128, 39), (2, 64, 160, 39), (8, 64, 216, 39), (8, 64, 208, 39), (8, 128, 72, 39)]",,,
5,1,32,128,65536,0.00390625,43.3,27.0,1.603,"[(8, 128, 104, 26), (8, 128, -1, 27), (8, 128, 112, 27), (8, 128, 120, 27), (4, 128, 104, 27), (8, 128, 128, 27), (8, 64, 112, 28), (8, 64, 104, 28), (4, 128, 112, 28), (4, 128, -1, 28)]",,,
5,2,32,128,65536,0.00390625,70.5,42.2,1.67,"[(4, 64, 104, 42), (8, 128, -1, 42), (4, 64, 112, 42), (8, 64, -1, 42), (8, 128, 48, 42), (8, 128, 64, 43), (4, 128, -1, 43), (4, 128, 64, 44), (8, 64, 104, 44), (8, 64, 112, 45)]",,,
