batch_size,next_n,heads,index_dim,avg_kv_length,var_ratio,deepgemm_us,moreh_us,speedup,top_configs
23,1,32,128,65536,0.00390625,400.1,67.0,5.969,"[(4, 64, 80, 67), (8, 64, 80, 69), (4, 64, 96, 79), (4, 64, -1, 80), (4, 64, 40, 80), (8, 64, -1, 81), (8, 64, 96, 81), (4, 64, 136, 82), (4, 64, 248, 82), (4, 64, 216, 83)]"
23,2,32,128,65536,0.00390625,283.4,127.3,2.226,"[(4, 64, 40, 127), (8, 128, 24, 128), (8, 64, 40, 128), (4, 128, 24, 131), (8, 128, 40, 135), (4, 64, 72, 139), (4, 128, 40, 140), (2, 64, 72, 142), (2, 64, 40, 144), (8, 64, 72, 145)]"
31,1,32,128,65536,0.00390625,214.7,93.5,2.296,"[(4, 64, 144, 93), (4, 64, 136, 95), (2, 64, 136, 97), (2, 64, 144, 97), (8, 64, 144, 98), (8, 64, 136, 99), (8, 256, 40, 100), (4, 64, 80, 106), (8, 128, 16, 108), (4, 64, 184, 108)]"
31,2,32,128,65536,0.00390625,437.4,176.5,2.478,"[(4, 64, 40, 176), (8, 128, 24, 181), (8, 64, 40, 183), (2, 64, 72, 189), (4, 128, 24, 190), (4, 64, 72, 191), (4, 64, 56, 191), (8, 64, 56, 193), (4, 64, 16, 194), (4, 64, 64, 194)]"
