batch_size,next_n,heads,index_dim,avg_kv_length,var_ratio,deepgemm_us,moreh_us,speedup,top_configs
19,1,32,128,65536,0.00390625,137.9,60.5,2.28,"[(4, 64, 176, 60), (4, 64, 184, 60), (4, 64, 200, 61), (4, 64, 192, 61), (4, 64, 80, 63), (8, 64, 80, 63), (2, 64, 184, 63), (2, 64, 176, 64), (2, 64, 200, 64), (2, 64, 192, 64)]"
19,2,32,128,65536,0.00390625,249.0,113.0,2.203,"[(8, 64, 40, 113), (4, 64, 40, 114), (8, 128, 40, 118), (4, 64, 136, 118), (4, 64, 80, 118), (4, 64, 64, 118), (4, 64, 144, 119), (4, 128, 40, 120), (8, 64, 64, 120), (2, 64, 80, 120)]"
27,1,32,128,65536,0.00390625,176.2,74.3,2.372,"[(8, 64, 80, 74), (2, 64, 80, 76), (4, 64, 184, 84), (4, 64, 176, 84), (4, 64, 192, 84), (4, 64, 200, 84), (2, 64, 184, 84), (2, 64, 176, 85), (2, 64, 192, 86), (2, 64, 200, 87)]"
27,2,32,128,65536,0.00390625,322.1,138.7,2.322,"[(4, 64, 40, 138), (2, 64, 40, 144), (8, 64, 40, 144), (2, 64, 80, 164), (4, 64, 80, 167), (4, 64, 64, 167), (8, 64, 64, 169), (4, 128, 40, 170), (8, 64, 80, 173), (4, 64, 144, 173)]"
