batch_size,next_n,heads,index_dim,avg_kv_length,var_ratio,deepgemm_us,moreh_us,speedup,top_configs
18,1,32,128,65536,0.00390625,131.7,58.8,2.239,"[(8, 128, 56, 58), (8, 256, 32, 62), (4, 128, 56, 63), (8, 128, 80, 63), (4, 64, 264, 65), (4, 64, 304, 65), (4, 64, 312, 65), (4, 64, 288, 66), (4, 64, 296, 67), (4, 64, 328, 67)]"
18,2,32,128,65536,0.00390625,240.8,105.0,2.293,"[(4, 64, 32, 105), (8, 64, 32, 108), (2, 64, 32, 111), (4, 64, -1, 113), (8, 64, -1, 113), (8, 128, 40, 118), (4, 64, 80, 119), (4, 128, 40, 120), (2, 64, -1, 120), (2, 64, 56, 121)]"
26,1,32,128,65536,0.00390625,157.2,82.6,1.903,"[(8, 64, -1, 82), (4, 64, -1, 84), (4, 64, 40, 85), (2, 64, 40, 85), (4, 128, 56, 85), (2, 64, -1, 86), (8, 256, 32, 87), (4, 128, -1, 88), (8, 256, -1, 89), (4, 128, 80, 89)]"
26,2,32,128,65536,0.00390625,308.3,162.2,1.901,"[(2, 64, 40, 162), (4, 64, 40, 162), (8, 128, -1, 164), (4, 128, -1, 165), (8, 64, 40, 166), (4, 64, 16, 170), (2, 64, 16, 170), (4, 128, 40, 172), (8, 64, 16, 172), (8, 128, 40, 173)]"
