batch_size,next_n,heads,index_dim,avg_kv_length,var_ratio,deepgemm_us,deepgemm_stage1_us,moreh_v2_us,moreh_v7_us,speedup_v2_deepgemm,speedup_v7_deepgemm,speedup_v7_vs_v2
32,1,32,128,1152,0.1111111111111111,10.5,217.0,6.0,5.9,1.76x,1.78x,1.01x
32,1,32,128,2176,0.058823529411764705,10.7,219.0,6.6,6.2,1.61x,1.73x,1.07x
32,1,32,128,4224,0.030303030303030304,14.2,225.2,10.9,9.4,1.30x,1.51x,1.16x
32,1,32,128,8320,0.015384615384615385,27.3,244.2,16.4,15.2,1.67x,1.79x,1.07x
32,1,32,128,16512,0.007751937984496124,53.9,273.6,28.8,28.0,1.88x,1.92x,1.03x
32,1,32,128,32896,0.0038910505836575876,99.7,321.2,54.1,52.7,1.84x,1.89x,1.02x
32,1,32,128,65664,0.001949317738791423,263.7,482.3,105.4,103.5,2.50x,2.55x,1.02x
