batch_size,next_n,heads,index_dim,avg_kv_length,var_ratio,deepgemm_us,moreh_us,speedup,num_warp,chunkK,splitK
1,1,32,128,65536,0.00390625,10.8,9.2,1.17,2,64,-1
1,2,32,128,65536,0.00390625,12.0,14.2,0.847,8,128,432
2,1,32,128,65536,0.00390625,11.9,14.5,0.824,8,256,248
2,2,32,128,65536,0.00390625,30.7,24.4,1.256,4,64,904
3,1,32,128,65536,0.00390625,28.0,20.7,1.351,8,64,136
3,2,32,128,65536,0.00390625,46.8,30.9,1.518,4,64,-1
4,1,32,128,65536,0.00390625,31.9,24.7,1.292,2,64,-1
4,2,32,128,65536,0.00390625,59.3,37.1,1.598,4,64,136
5,1,32,128,65536,0.00390625,42.9,26.8,1.603,8,128,96
5,2,32,128,65536,0.00390625,71.1,42.7,1.668,8,128,-1
6,1,32,128,65536,0.00390625,43.2,28.1,1.536,8,128,88
6,2,32,128,65536,0.00390625,81.7,48.6,1.681,8,64,64
7,1,32,128,65536,0.00390625,47.7,32.7,1.458,8,64,128
7,2,32,128,65536,0.00390625,89.2,49.5,1.801,4,64,64
8,1,32,128,65536,0.00390625,56.5,38.0,1.489,4,64,456
8,2,32,128,65536,0.00390625,97.5,46.9,2.077,4,64,56
