batch_size,next_n,heads,index_dim,avg_kv_length,var_ratio,deepgemm_us,moreh_us,speedup,top_configs
133,1,32,128,65536,0.00390625,865.6,383.4,2.258,"[(4, 64, 56, 383), (2, 64, 64, 385), (8, 64, 56, 385), (2, 64, 56, 386), (4, 64, 64, 390), (8, 128, 40, 394), (8, 128, 48, 395), (8, 128, 56, 395), (4, 128, 40, 398), (8, 64, 64, 398)]"
141,1,32,128,65536,0.00390625,902.3,356.9,2.528,"[(4, 64, 56, 356), (8, 64, 56, 366), (2, 64, 56, 380), (8, 128, 48, 382), (8, 64, 48, 386), (4, 64, 48, 388), (4, 128, 48, 392), (2, 64, 24, 398), (8, 256, 2, 399), (4, 64, 24, 400)]"
149,1,32,128,65536,0.00390625,923.8,396.4,2.331,"[(4, 64, 56, 396), (8, 64, 56, 404), (2, 64, 56, 408), (8, 128, 2, 416), (8, 256, 2, 419), (8, 64, 48, 428), (4, 64, 48, 430), (2, 64, 48, 431), (8, 128, 48, 432), (4, 128, 48, 437)]"
157,1,32,128,65536,0.00390625,982.2,390.9,2.513,"[(4, 64, 56, 390), (8, 64, 56, 401), (2, 64, 56, 419), (8, 64, 48, 425), (4, 64, 48, 430), (8, 128, 48, 437), (2, 64, 64, 438), (4, 64, 64, 443), (8, 128, 56, 447), (4, 64, 24, 450)]"
165,1,32,128,65536,0.00390625,999.2,385.8,2.59,"[(4, 64, 56, 385), (8, 64, 56, 397), (2, 64, 56, 408), (4, 64, 24, 446), (8, 128, 56, 449), (8, 128, 48, 450), (4, 128, 56, 456), (2, 64, 64, 459), (8, 64, 48, 467), (4, 128, 48, 467)]"
173,1,32,128,65536,0.00390625,1036.0,456.4,2.27,"[(4, 64, 64, 456), (8, 64, 64, 461), (2, 64, 64, 473), (2, 64, 72, 482), (8, 128, 2, 483), (4, 64, 72, 487), (8, 64, 56, 490), (8, 128, 56, 495), (8, 64, 72, 499), (8, 128, 64, 499)]"
181,1,32,128,65536,0.00390625,1052.1,473.6,2.222,"[(4, 64, 56, 473), (8, 64, 56, 475), (2, 64, 64, 490), (4, 64, 64, 494), (8, 64, 48, 506), (2, 64, 56, 508), (8, 64, 64, 509), (4, 64, 48, 515), (8, 128, 48, 520), (2, 64, 24, 521)]"
189,1,32,128,65536,0.00390625,1182.8,512.2,2.309,"[(8, 64, 48, 512), (4, 64, 48, 512), (2, 64, 56, 517), (4, 64, 56, 529), (2, 64, 24, 529), (8, 64, 56, 539), (2, 64, 48, 542), (8, 128, 48, 551), (2, 64, 64, 558), (4, 128, 48, 562)]"
197,1,32,128,65536,0.00390625,1200.9,530.3,2.265,"[(4, 64, 56, 530), (8, 64, 56, 541), (2, 64, 56, 541), (2, 64, 64, 566), (2, 64, 24, 569), (4, 128, 2, 576), (8, 128, 2, 577), (8, 64, 48, 587), (8, 128, 48, 588), (8, 64, 4, 592)]"
205,1,32,128,65536,0.00390625,1236.4,566.1,2.184,"[(8, 64, 48, 566), (4, 64, 48, 571), (4, 64, 56, 573), (8, 64, 56, 580), (2, 64, 56, 581), (4, 128, 2, 588), (2, 64, 48, 590), (2, 64, 64, 601), (8, 128, 2, 603), (8, 256, -1, 611)]"
213,1,32,128,65536,0.00390625,1348.7,583.5,2.312,"[(2, 64, 56, 583), (4, 64, 56, 588), (8, 64, 48, 590), (4, 64, 48, 600), (8, 64, 56, 603), (2, 64, 48, 619), (2, 64, 64, 628), (8, 64, 4, 633), (8, 128, 48, 636), (2, 64, 24, 638)]"
221,1,32,128,65536,0.00390625,1321.9,543.2,2.433,"[(4, 64, 56, 543), (2, 64, 56, 553), (8, 64, 48, 562), (4, 64, 48, 567), (8, 64, 56, 567), (8, 128, -1, 580), (8, 128, 48, 614), (2, 64, 24, 617), (2, 64, 64, 617), (2, 64, 48, 623)]"
229,1,32,128,65536,0.00390625,1334.2,570.9,2.337,"[(8, 128, -1, 570), (4, 64, 48, 573), (8, 64, 48, 579), (2, 64, 48, 623), (4, 128, -1, 623), (2, 64, 56, 625), (4, 64, 56, 625), (8, 64, 56, 633), (8, 256, -1, 642), (4, 128, 2, 644)]"
