batch_size,next_n,heads,index_dim,avg_kv_length,var_ratio,deepgemm_us,moreh_us,speedup,num_warp,chunkK,splitK
135,1,32,128,65536,0.00390625,886.4,287.3,3.086,8,128,8
143,1,32,128,65536,0.00390625,924.6,310.4,2.978,4,64,8
151,1,32,128,65536,0.00390625,943.1,310.8,3.035,4,64,8
159,1,32,128,65536,0.00390625,1005.4,417.4,2.409,8,128,8
167,1,32,128,65536,0.00390625,1025.6,384.3,2.669,8,128,8
175,1,32,128,65536,0.00390625,1065.0,487.6,2.184,8,128,8
183,1,32,128,65536,0.00390625,1219.9,423.0,2.884,8,128,8
191,1,32,128,65536,0.00390625,1247.3,410.3,3.04,8,128,8
199,1,32,128,65536,0.00390625,1268.2,501.1,2.531,8,128,8
207,1,32,128,65536,0.00390625,1317.8,550.5,2.394,8,128,8
215,1,32,128,65536,0.00390625,1395.8,466.6,2.992,8,128,8
223,1,32,128,65536,0.00390625,1418.2,452.5,3.134,8,128,8
231,1,32,128,65536,0.00390625,1430.9,575.5,2.486,8,64,8
