batch_size,next_n,heads,index_dim,avg_kv_length,var_ratio,deepgemm_us,moreh_us,speedup,top_configs
136,1,32,128,65536,0.00390625,895.4,433.8,2.064,"[(8, 64, 4, 433), (4, 128, 4, 434), (4, 64, 192, 438), (4, 64, 184, 438), (4, 64, 200, 438), (4, 64, 176, 438), (4, 64, 232, 439), (4, 64, 248, 439), (2, 64, 192, 439), (4, 64, 208, 439)]"
144,1,32,128,65536,0.00390625,930.8,453.6,2.052,"[(8, 64, 4, 453), (4, 64, 4, 458), (4, 64, 184, 464), (4, 64, 200, 464), (4, 64, 192, 465), (4, 64, 176, 465), (4, 64, 224, 465), (4, 64, 208, 465), (2, 64, 192, 466), (4, 128, 4, 466)]"
152,1,32,128,65536,0.00390625,927.3,442.2,2.097,"[(4, 128, 8, 442), (8, 128, 8, 459), (2, 64, 8, 460), (2, 128, 8, 473), (4, 128, 16, 474), (8, 64, 4, 481), (2, 64, 32, 482), (4, 64, 4, 484), (4, 64, 8, 485), (2, 128, 16, 489)]"
160,1,32,128,65536,0.00390625,1018.2,514.8,1.978,"[(4, 64, 192, 514), (4, 64, 176, 514), (4, 64, 184, 514), (4, 64, 200, 515), (4, 64, 232, 515), (4, 64, 248, 515), (4, 64, 224, 515), (2, 64, 160, 516), (2, 64, 152, 516), (2, 64, 184, 516)]"
168,1,32,128,65536,0.00390625,1014.4,539.3,1.881,"[(4, 64, 176, 539), (4, 64, 200, 539), (4, 64, 192, 539), (4, 64, 184, 540), (2, 64, 152, 540), (2, 64, 184, 540), (2, 64, 160, 540), (2, 64, 168, 540), (4, 64, 232, 540), (2, 64, 200, 541)]"
176,1,32,128,65536,0.00390625,1053.6,565.4,1.863,"[(4, 64, 192, 565), (4, 64, 200, 565), (4, 64, 184, 565), (4, 64, 176, 565), (2, 64, 160, 566), (4, 64, 248, 566), (2, 64, 152, 566), (2, 64, 184, 566), (4, 64, 232, 566), (4, 64, 168, 566)]"
184,1,32,128,65536,0.00390625,1176.4,576.4,2.041,"[(4, 64, 160, 576), (4, 64, 168, 576), (4, 64, 184, 576), (4, 64, 200, 576), (4, 64, 152, 576), (4, 64, 176, 576), (4, 64, 192, 576), (4, 64, 232, 577), (4, 64, 240, 577), (4, 64, 248, 577)]"
192,1,32,128,65536,0.00390625,1195.9,571.9,2.091,"[(4, 128, 8, 571), (8, 128, 8, 572), (4, 64, 248, 590), (4, 64, 216, 590), (4, 64, 232, 591), (4, 64, 192, 591), (4, 64, 256, 591), (4, 64, 184, 591), (4, 64, 240, 592), (4, 64, 200, 592)]"
200,1,32,128,65536,0.00390625,1244.1,562.5,2.212,"[(4, 128, 8, 562), (8, 128, 8, 566), (4, 64, 4, 601), (8, 64, 4, 605), (2, 64, 16, 610), (2, 64, 4, 615), (4, 64, 16, 621), (4, 128, 32, 622), (4, 128, 40, 624), (2, 64, 104, 628)]"
208,1,32,128,65536,0.00390625,1280.3,612.4,2.091,"[(4, 64, 136, 612), (4, 64, 144, 613), (2, 64, 144, 616), (2, 64, 136, 617), (4, 64, 120, 617), (4, 64, 128, 617), (4, 64, 152, 618), (4, 64, 168, 618), (4, 64, 160, 619), (2, 64, 120, 620)]"
216,1,32,128,65536,0.00390625,1359.5,637.2,2.134,"[(8, 128, 48, 637), (8, 128, 56, 638), (4, 128, 48, 643), (4, 128, 56, 644), (4, 64, 144, 649), (4, 64, 136, 649), (2, 64, 136, 652), (2, 64, 144, 652), (8, 128, 64, 653), (8, 128, 80, 655)]"
224,1,32,128,65536,0.00390625,1384.8,632.7,2.189,"[(4, 128, 8, 632), (8, 128, 8, 637), (4, 64, 136, 691), (4, 64, 152, 691), (4, 64, 144, 691), (4, 64, 168, 692), (4, 64, 160, 692), (4, 128, 16, 693), (2, 64, 144, 693), (2, 64, 136, 695)]"
232,1,32,128,65536,0.00390625,1396.1,663.0,2.106,"[(4, 64, 4, 663), (4, 64, 184, 669), (8, 64, 4, 669), (4, 64, 200, 669), (4, 64, 192, 669), (4, 64, 176, 670), (4, 64, 152, 671), (4, 64, 168, 671), (4, 64, 160, 672), (4, 128, -1, 673)]"
