batch_size,next_n,heads,index_dim,avg_kv_length,var_ratio,deepgemm_us,moreh_us,speedup,num_warp,chunkK,splitK
134,1,32,128,65536,0.00390625,874.1,340.0,2.571,8,128,4
142,1,32,128,65536,0.00390625,896.0,363.7,2.464,8,128,4
150,1,32,128,65536,0.00390625,934.4,321.0,2.911,8,128,4
158,1,32,128,65536,0.00390625,983.5,437.0,2.25,2,64,72
166,1,32,128,65536,0.00390625,980.4,392.2,2.5,8,128,-1
174,1,32,128,65536,0.00390625,1032.9,451.4,2.288,8,128,-1
182,1,32,128,65536,0.00390625,1055.1,469.6,2.247,4,64,4
190,1,32,128,65536,0.00390625,1172.2,477.1,2.457,4,64,4
198,1,32,128,65536,0.00390625,1235.7,487.7,2.534,4,64,4
206,1,32,128,65536,0.00390625,1230.7,488.8,2.518,4,64,4
214,1,32,128,65536,0.00390625,1313.1,526.5,2.494,8,64,4
222,1,32,128,65536,0.00390625,1324.2,493.5,2.683,4,64,4
230,1,32,128,65536,0.00390625,1355.0,542.8,2.497,4,64,4
