batch_size,next_n,heads,index_dim,avg_kv_length,var_ratio,deepgemm_us,moreh_us,speedup,num_warp,chunkK,splitK
136,1,32,128,65536,0.00390625,895.4,433.8,2.064,8,64,4
144,1,32,128,65536,0.00390625,930.8,453.6,2.052,8,64,4
152,1,32,128,65536,0.00390625,927.3,442.2,2.097,4,128,8
160,1,32,128,65536,0.00390625,1018.2,514.8,1.978,4,64,192
168,1,32,128,65536,0.00390625,1014.4,539.3,1.881,4,64,176
176,1,32,128,65536,0.00390625,1053.6,565.4,1.863,4,64,192
184,1,32,128,65536,0.00390625,1176.4,576.4,2.041,4,64,160
192,1,32,128,65536,0.00390625,1195.9,571.9,2.091,4,128,8
200,1,32,128,65536,0.00390625,1244.1,562.5,2.212,4,128,8
208,1,32,128,65536,0.00390625,1280.3,612.4,2.091,4,64,136
216,1,32,128,65536,0.00390625,1359.5,637.2,2.134,8,128,48
224,1,32,128,65536,0.00390625,1384.8,632.7,2.189,4,128,8
232,1,32,128,65536,0.00390625,1396.1,663.0,2.106,4,64,4
