batch_size,next_n,heads,index_dim,avg_kv_length,var_ratio,deepgemm_us,moreh_us,speedup,top_configs
2,1,32,128,65536,0.00390625,12.1,14.8,0.818,"[(8, 256, 200, 14), (8, 256, 160, 15), (2, 64, 600, 15), (8, 256, 224, 15), (8, 256, 152, 16), (8, 256, 144, 16), (8, 256, 136, 16), (8, 256, 168, 16), (8, 256, 192, 16), (8, 256, 216, 16)]"
2,2,32,128,65536,0.00390625,32.5,24.3,1.338,"[(2, 64, -1, 24), (2, 64, 280, 24), (4, 64, 160, 25), (2, 64, 1008, 26), (8, 128, 168, 26), (4, 64, 208, 26), (2, 128, -1, 26), (2, 64, 840, 26), (2, 64, 1016, 26), (4, 64, 168, 26)]"
10,1,32,128,65536,0.00390625,62.9,41.2,1.527,"[(8, 128, 56, 41), (8, 256, 32, 41), (8, 128, 32, 42), (8, 64, 56, 43), (4, 128, 56, 43), (4, 64, 168, 43), (4, 64, 56, 44), (4, 64, 160, 44), (4, 64, 152, 44), (2, 64, -1, 44)]"
10,2,32,128,65536,0.00390625,114.2,69.4,1.646,"[(4, 64, -1, 69), (8, 64, -1, 69), (4, 128, -1, 70), (8, 128, 24, 70), (8, 128, -1, 71), (4, 128, 24, 71), (4, 64, 40, 72), (8, 128, 64, 73), (4, 64, 48, 73), (8, 64, 40, 73)]"
18,1,32,128,65536,0.00390625,134.7,62.4,2.159,"[(4, 64, 40, 62), (8, 256, 32, 63), (4, 64, 216, 63), (4, 64, 240, 63), (8, 64, -1, 64), (4, 64, -1, 64), (2, 64, -1, 64), (8, 64, 40, 64), (8, 128, 56, 64), (4, 128, 56, 64)]"
18,2,32,128,65536,0.00390625,241.1,116.7,2.067,"[(8, 128, 24, 116), (4, 64, 24, 117), (4, 64, 48, 118), (4, 128, 48, 118), (8, 64, 24, 119), (2, 64, 24, 119), (2, 64, 96, 120), (8, 64, 48, 120), (8, 128, 40, 121), (8, 64, 16, 121)]"
26,1,32,128,65536,0.00390625,159.5,77.2,2.067,"[(4, 64, 40, 77), (8, 64, 40, 79), (2, 64, 40, 81), (8, 128, -1, 82), (4, 64, 96, 83), (4, 64, -1, 84), (8, 64, -1, 85), (2, 64, -1, 87), (8, 64, 96, 87), (8, 256, -1, 87)]"
26,2,32,128,65536,0.00390625,309.7,152.0,2.038,"[(2, 64, 40, 151), (4, 64, 40, 155), (8, 128, -1, 161), (8, 64, 40, 162), (4, 128, -1, 164), (4, 64, 16, 167), (8, 64, 16, 168), (2, 64, 16, 168), (4, 64, 64, 171), (8, 128, 8, 171)]"
34,1,32,128,65536,0.00390625,234.2,102.0,2.296,"[(8, 64, 40, 101), (4, 64, 40, 103), (4, 128, 56, 106), (4, 64, 96, 109), (8, 128, 56, 110), (8, 128, 8, 111), (8, 64, 96, 112), (4, 64, -1, 114), (2, 64, 96, 115), (2, 64, 72, 115)]"
34,2,32,128,65536,0.00390625,452.8,214.7,2.109,"[(4, 64, 40, 214), (4, 128, 24, 215), (8, 64, 40, 215), (2, 64, 32, 217), (4, 128, 8, 219), (8, 64, 8, 219), (4, 64, 32, 220), (2, 64, 72, 223), (2, 64, 40, 223), (4, 64, 8, 223)]"
42,1,32,128,65536,0.00390625,249.4,131.5,1.897,"[(8, 128, 40, 131), (4, 128, 40, 131), (4, 64, 40, 133), (8, 64, 40, 133), (2, 64, -1, 135), (8, 128, 8, 135), (4, 64, -1, 135), (8, 64, -1, 136), (4, 128, 56, 137), (4, 64, 224, 138)]"
42,2,32,128,65536,0.00390625,487.2,257.4,1.893,"[(2, 64, 40, 257), (4, 64, 40, 259), (8, 64, 40, 264), (2, 64, -1, 269), (4, 64, -1, 269), (2, 64, 24, 271), (8, 64, -1, 271), (4, 64, 240, 272), (4, 64, 248, 272), (4, 64, 208, 272)]"
50,1,32,128,65536,0.00390625,294.3,149.8,1.965,"[(4, 128, 24, 149), (8, 128, 24, 150), (8, 128, 32, 157), (4, 128, 32, 158), (8, 256, 32, 158), (8, 256, 24, 159), (2, 64, 24, 159), (4, 64, 120, 159), (4, 64, 128, 160), (2, 64, 128, 163)]"
50,2,32,128,65536,0.00390625,570.3,305.0,1.87,"[(4, 128, 24, 305), (8, 128, 24, 311), (4, 64, 136, 315), (4, 64, 144, 315), (8, 128, 80, 316), (4, 64, 152, 316), (4, 64, 200, 316), (4, 64, 168, 316), (4, 64, 184, 316), (4, 64, 192, 317)]"
58,1,32,128,65536,0.00390625,307.5,163.9,1.876,"[(8, 128, 32, 163), (4, 128, 32, 165), (4, 128, -1, 166), (8, 128, -1, 168), (8, 64, -1, 172), (2, 64, 40, 175), (4, 64, -1, 177), (4, 128, 8, 180), (4, 64, 152, 180), (4, 64, 40, 180)]"
58,2,32,128,65536,0.00390625,620.0,329.8,1.88,"[(8, 128, 24, 329), (4, 128, 24, 333), (2, 64, 48, 355), (2, 64, 72, 359), (8, 128, 4, 361), (2, 64, 24, 363), (8, 64, 24, 364), (4, 64, 72, 364), (8, 128, 72, 364), (2, 64, 40, 365)]"
66,1,32,128,65536,0.00390625,429.2,175.2,2.449,"[(8, 128, 32, 175), (4, 128, 32, 183), (4, 64, 136, 192), (4, 64, 144, 192), (8, 256, 32, 192), (4, 128, 8, 195), (8, 256, 24, 198), (8, 128, 8, 200), (8, 64, 144, 200), (8, 64, 136, 200)]"
66,2,32,128,65536,0.00390625,727.7,371.0,1.962,"[(2, 64, 16, 370), (4, 64, 16, 381), (2, 64, 32, 389), (2, 64, 40, 390), (2, 64, 64, 397), (4, 128, 16, 400), (8, 64, 16, 405), (4, 128, 24, 405), (8, 128, 16, 407), (4, 64, 40, 409)]"
74,1,32,128,65536,0.00390625,453.4,202.9,2.235,"[(8, 128, 24, 202), (8, 128, 32, 206), (8, 256, 24, 206), (4, 128, 24, 208), (8, 256, 32, 208), (4, 128, 32, 209), (4, 64, 136, 217), (4, 64, 144, 218), (2, 64, 144, 222), (2, 64, 136, 222)]"
74,2,32,128,65536,0.00390625,774.5,433.9,1.785,"[(2, 64, 40, 433), (8, 128, 40, 440), (4, 128, 40, 440), (8, 128, 32, 448), (4, 128, 32, 449), (2, 64, 112, 451), (2, 64, 104, 451), (4, 64, 120, 452), (4, 64, 112, 452), (2, 64, 96, 453)]"
