batch_size,next_n,heads,index_dim,avg_kv_length,var_ratio,deepgemm_us,moreh_us,speedup,num_warp,chunkK,splitK
133,1,32,128,65536,0.00390625,865.6,383.4,2.258,4,64,56
141,1,32,128,65536,0.00390625,902.3,356.9,2.528,4,64,56
149,1,32,128,65536,0.00390625,923.8,396.4,2.331,4,64,56
157,1,32,128,65536,0.00390625,982.2,390.9,2.513,4,64,56
165,1,32,128,65536,0.00390625,999.2,385.8,2.59,4,64,56
173,1,32,128,65536,0.00390625,1036.0,456.4,2.27,4,64,64
181,1,32,128,65536,0.00390625,1052.1,473.6,2.222,4,64,56
189,1,32,128,65536,0.00390625,1182.8,512.2,2.309,8,64,48
197,1,32,128,65536,0.00390625,1200.9,530.3,2.265,4,64,56
205,1,32,128,65536,0.00390625,1236.4,566.1,2.184,8,64,48
213,1,32,128,65536,0.00390625,1348.7,583.5,2.312,2,64,56
221,1,32,128,65536,0.00390625,1321.9,543.2,2.433,4,64,56
229,1,32,128,65536,0.00390625,1334.2,570.9,2.337,8,128,-1
