batch_size,next_n,heads,index_dim,avg_kv_length,var_ratio,deepgemm_us,moreh_us,speedup,num_warp,chunkK,splitK
131,1,32,128,65536,0.00390625,870.5,363.8,2.393,8,128,16
139,1,32,128,65536,0.00390625,909.1,348.1,2.612,8,128,16
147,1,32,128,65536,0.00390625,929.3,388.0,2.395,8,128,16
155,1,32,128,65536,0.00390625,996.7,465.2,2.142,8,128,8
163,1,32,128,65536,0.00390625,1045.7,437.2,2.392,8,128,16
171,1,32,128,65536,0.00390625,1056.0,430.4,2.453,8,128,16
179,1,32,128,65536,0.00390625,1079.8,479.5,2.252,8,128,16
187,1,32,128,65536,0.00390625,1216.7,470.5,2.586,8,128,16
195,1,32,128,65536,0.00390625,1245.0,495.4,2.513,8,128,16
203,1,32,128,65536,0.00390625,1304.7,536.4,2.433,8,128,16
211,1,32,128,65536,0.00390625,1283.2,572.5,2.241,4,128,8
219,1,32,128,65536,0.00390625,1395.7,596.0,2.342,8,128,16
227,1,32,128,65536,0.00390625,1426.4,590.0,2.418,8,128,16
