batch_size,next_n,heads,index_dim,avg_kv_length,var_ratio,deepgemm_us,moreh_us,speedup,num_warp,chunkK,splitK
132,1,32,128,65536,0.00390625,862.8,383.8,2.248,8,128,2
140,1,32,128,65536,0.00390625,900.5,409.1,2.201,2,64,40
148,1,32,128,65536,0.00390625,917.3,454.5,2.019,2,64,56
156,1,32,128,65536,0.00390625,978.1,443.6,2.205,4,128,16
164,1,32,128,65536,0.00390625,995.4,478.2,2.081,4,128,16
172,1,32,128,65536,0.00390625,1029.3,479.2,2.148,4,128,16
180,1,32,128,65536,0.00390625,1049.9,533.1,1.969,4,128,16
188,1,32,128,65536,0.00390625,1183.5,542.6,2.181,4,128,16
196,1,32,128,65536,0.00390625,1211.5,562.8,2.153,4,128,16
204,1,32,128,65536,0.00390625,1240.4,596.9,2.078,8,128,2
212,1,32,128,65536,0.00390625,1256.5,579.1,2.17,4,128,16
220,1,32,128,65536,0.00390625,1360.0,610.5,2.228,2,64,-1
228,1,32,128,65536,0.00390625,1377.7,617.8,2.23,8,128,2
