batch_size,next_n,heads,index_dim,avg_kv_length,var_ratio,deepgemm_us,moreh_us,speedup,num_warp,chunkK,splitK
129,1,32,128,65536,0.00390625,877.1,277.5,3.161,4,64,56
137,1,32,128,65536,0.00390625,899.4,301.8,2.98,4,64,56
145,1,32,128,65536,0.00390625,918.5,376.4,2.44,4,64,56
153,1,32,128,65536,0.00390625,978.4,330.9,2.957,4,64,56
161,1,32,128,65536,0.00390625,996.3,369.4,2.697,4,64,56
169,1,32,128,65536,0.00390625,1031.5,393.0,2.625,4,64,48
177,1,32,128,65536,0.00390625,1055.4,402.7,2.62,4,64,56
185,1,32,128,65536,0.00390625,1177.8,419.7,2.806,4,64,56
193,1,32,128,65536,0.00390625,1193.1,418.9,2.848,4,64,56
201,1,32,128,65536,0.00390625,1219.2,506.9,2.405,4,64,56
209,1,32,128,65536,0.00390625,1256.8,453.6,2.771,4,64,48
217,1,32,128,65536,0.00390625,1331.3,580.7,2.292,4,64,64
225,1,32,128,65536,0.00390625,1345.6,482.7,2.788,4,64,56
233,1,32,128,65536,0.00390625,1624.3,560.0,2.901,4,64,64
