batch_size,next_n,heads,index_dim,avg_kv_length,var_ratio,deepgemm_us,moreh_us,speedup,top_configs
5,1,32,128,65536,0.00390625,40.9,23.1,1.773,"[(8, 128, 104, 23), (8, 128, 120, 23), (8, 128, 128, 26), (8, 128, 112, 26), (8, 128, -1, 26), (8, 128, 96, 26), (4, 64, 104, 27), (4, 64, 112, 27), (4, 128, 128, 27), (4, 128, 112, 27)]"
5,2,32,128,65536,0.00390625,70.5,42.0,1.679,"[(8, 128, 64, 41), (4, 64, -1, 42), (4, 128, 64, 42), (8, 128, 48, 42), (8, 64, 56, 42), (4, 64, 56, 42), (8, 64, -1, 42), (8, 128, -1, 43), (4, 128, -1, 43), (2, 64, -1, 43)]"
13,1,32,128,65536,0.00390625,81.2,48.0,1.693,"[(8, 128, 112, 47), (8, 128, 120, 48), (8, 128, 104, 48), (8, 128, 128, 48), (4, 64, 104, 49), (4, 64, 112, 49), (8, 64, 104, 50), (4, 64, 64, 50), (8, 64, 112, 50), (4, 64, 168, 51)]"
13,2,32,128,65536,0.00390625,173.4,83.0,2.089,"[(8, 128, 64, 83), (8, 128, -1, 85), (4, 128, 64, 86), (4, 64, 160, 86), (4, 64, 152, 86), (4, 64, 168, 87), (4, 64, 112, 88), (4, 64, 104, 88), (8, 128, 56, 89), (4, 64, 96, 89)]"
21,1,32,128,65536,0.00390625,132.9,57.3,2.319,"[(4, 64, 104, 57), (4, 64, 112, 57), (2, 64, 112, 61), (8, 128, 64, 62), (2, 64, 104, 62), (8, 64, 112, 62), (8, 64, 104, 63), (4, 128, 64, 64), (8, 128, 128, 66), (8, 128, 104, 66)]"
21,2,32,128,65536,0.00390625,255.3,125.6,2.032,"[(8, 128, 64, 125), (4, 128, 64, 125), (4, 64, 112, 127), (4, 64, 104, 127), (2, 64, 112, 128), (2, 64, 104, 129), (2, 64, 48, 131), (4, 64, 48, 132), (4, 64, 168, 132), (4, 128, 56, 133)]"
29,1,32,128,65536,0.00390625,171.0,75.6,2.262,"[(4, 64, 104, 75), (4, 64, 112, 75), (8, 64, 104, 80), (8, 64, 112, 81), (2, 64, 112, 82), (2, 64, 104, 83), (8, 128, 120, 88), (8, 128, 128, 89), (8, 128, 104, 89), (8, 128, 112, 89)]"
29,2,32,128,65536,0.00390625,326.6,177.0,1.846,"[(4, 64, 16, 176), (8, 64, 16, 181), (2, 64, 40, 183), (4, 128, 8, 184), (8, 128, 8, 186), (2, 64, 104, 186), (2, 64, 96, 186), (2, 64, 112, 186), (4, 64, 96, 187), (8, 64, -1, 187)]"
37,1,32,128,65536,0.00390625,241.2,97.8,2.466,"[(4, 64, 112, 97), (4, 64, 104, 98), (8, 64, 112, 103), (8, 64, 104, 103), (4, 128, 16, 104), (8, 128, 16, 107), (2, 64, 104, 108), (2, 64, 112, 109), (4, 64, 24, 115), (2, 64, 24, 116)]"
37,2,32,128,65536,0.00390625,462.3,221.1,2.091,"[(2, 64, 48, 221), (4, 128, 8, 222), (8, 128, 8, 224), (8, 64, -1, 227), (8, 64, 8, 228), (4, 64, -1, 230), (4, 64, 48, 231), (4, 64, 8, 232), (2, 64, 16, 233), (8, 64, 56, 235)]"
