batch_size,next_n,heads,index_dim,avg_kv_length,var_ratio,deepgemm_us,moreh_us,speedup,top_configs
7,1,32,128,65536,0.00390625,46.8,32.9,1.422,"[(8, 256, 48, 32), (8, 256, 216, 33), (8, 256, 232, 33), (8, 256, 240, 33), (8, 256, 256, 33), (2, 64, -1, 34), (4, 64, 144, 34), (4, 64, 80, 34), (8, 256, 40, 34), (4, 64, 136, 34)]"
7,2,32,128,65536,0.00390625,90.4,51.9,1.742,"[(4, 64, 72, 51), (2, 64, 72, 53), (8, 64, 72, 53), (2, 64, 160, 53), (4, 64, 152, 53), (4, 64, 168, 53), (4, 64, 160, 54), (4, 64, 56, 54), (8, 64, 160, 54), (4, 64, 40, 54)]"
15,1,32,128,65536,0.00390625,86.1,46.9,1.837,"[(4, 64, 144, 46), (4, 64, 136, 48), (2, 64, 136, 50), (8, 64, 136, 51), (8, 256, -1, 51), (8, 64, 144, 51), (8, 256, 40, 51), (2, 64, 144, 51), (8, 128, 160, 54), (8, 128, 152, 54)]"
15,2,32,128,65536,0.00390625,176.4,86.0,2.05,"[(8, 128, 40, 86), (4, 128, 40, 89), (4, 64, 72, 91), (2, 64, 72, 94), (2, 64, 40, 94), (8, 128, 64, 94), (4, 64, 40, 94), (4, 64, 104, 94), (8, 64, 72, 94), (4, 64, 112, 95)]"
23,1,32,128,65536,0.00390625,171.7,74.3,2.311,"[(4, 64, 144, 74), (4, 64, 136, 76), (2, 64, 144, 78), (4, 64, 80, 78), (2, 64, 136, 79), (8, 64, 144, 79), (8, 64, 136, 79), (8, 128, 144, 80), (8, 256, 40, 80), (4, 64, 208, 80)]"
23,2,32,128,65536,0.00390625,284.7,125.7,2.266,"[(8, 128, 24, 125), (4, 128, 24, 126), (8, 64, 40, 129), (4, 64, 40, 129), (8, 128, 40, 131), (4, 64, 72, 131), (2, 64, 72, 135), (4, 128, 40, 137), (8, 64, 72, 137), (2, 64, 112, 141)]"
31,1,32,128,65536,0.00390625,213.9,96.3,2.222,"[(4, 64, 136, 96), (4, 64, 144, 96), (4, 64, 80, 98), (2, 64, 144, 99), (2, 64, 136, 100), (8, 64, 80, 100), (8, 64, 136, 103), (8, 256, 40, 104), (8, 64, 144, 104), (8, 64, 16, 105)]"
31,2,32,128,65536,0.00390625,441.6,185.6,2.38,"[(4, 64, 64, 185), (8, 128, 24, 186), (4, 64, 40, 186), (8, 64, 56, 189), (2, 64, 40, 190), (4, 64, 56, 190), (4, 64, 16, 191), (8, 64, 64, 192), (2, 64, 72, 192), (4, 128, 24, 193)]"
39,1,32,128,65536,0.00390625,240.7,113.6,2.119,"[(4, 64, 80, 113), (4, 64, 24, 116), (2, 64, 80, 118), (8, 64, 24, 119), (8, 64, 16, 120), (8, 64, 80, 121), (4, 64, 16, 121), (4, 64, -1, 122), (2, 64, 24, 123), (2, 64, -1, 124)]"
39,2,32,128,65536,0.00390625,477.0,209.3,2.279,"[(4, 64, 40, 209), (8, 128, 24, 217), (8, 64, 40, 217), (2, 64, 40, 218), (4, 128, 24, 219), (8, 64, -1, 235), (2, 64, 72, 237), (4, 64, -1, 238), (4, 64, 72, 241), (4, 64, 56, 244)]"
