batch_size,next_n,heads,index_dim,avg_kv_length,var_ratio,deepgemm_us,moreh_us,speedup,num_warp,chunkK,splitK
40,1,32,128,65536,0.00390625,243.3,128.4,1.895,8,64,-1
40,2,32,128,65536,0.00390625,477.4,175.4,2.721,4,64,40
41,1,32,128,65536,0.00390625,245.9,98.5,2.497,8,128,64
41,2,32,128,65536,0.00390625,482.7,223.4,2.161,8,128,24
42,1,32,128,65536,0.00390625,249.4,131.5,1.897,8,128,40
42,2,32,128,65536,0.00390625,487.2,257.4,1.893,2,64,40
43,1,32,128,65536,0.00390625,248.3,100.9,2.46,4,64,80
43,2,32,128,65536,0.00390625,496.4,233.6,2.125,2,64,40
44,1,32,128,65536,0.00390625,249.1,110.9,2.246,8,64,-1
44,2,32,128,65536,0.00390625,485.4,259.7,1.869,2,64,-1
45,1,32,128,65536,0.00390625,257.5,115.1,2.238,4,64,112
45,2,32,128,65536,0.00390625,505.5,242.7,2.083,8,64,-1
46,1,32,128,65536,0.00390625,271.9,130.4,2.085,8,128,40
46,2,32,128,65536,0.00390625,539.4,279.7,1.928,2,64,24
47,1,32,128,65536,0.00390625,280.2,141.8,1.975,8,128,8
47,2,32,128,65536,0.00390625,561.4,267.8,2.096,4,128,24
48,1,32,128,65536,0.00390625,276.8,150.4,1.841,8,64,16
48,2,32,128,65536,0.00390625,550.2,198.2,2.776,4,64,24
49,1,32,128,65536,0.00390625,299.6,124.2,2.413,8,128,64
49,2,32,128,65536,0.00390625,563.7,255,2.211,8,128,24
50,1,32,128,65536,0.00390625,294.3,149.8,1.965,4,128,24
50,2,32,128,65536,0.00390625,570.3,305,1.87,4,128,24
51,1,32,128,65536,0.00390625,299.5,130,2.305,4,64,80
51,2,32,128,65536,0.00390625,593.5,284,2.09,4,128,-1
52,1,32,128,65536,0.00390625,301,155,1.942,8,128,24
52,2,32,128,65536,0.00390625,588.8,328.3,1.793,2,64,-1
53,1,32,128,65536,0.00390625,307,146.1,2.101,8,128,64
53,2,32,128,65536,0.00390625,596.1,292.4,2.039,8,128,32
54,1,32,128,65536,0.00390625,304,136.3,2.23,4,64,40
54,2,32,128,65536,0.00390625,601.9,332,1.813,2,64,56
55,1,32,128,65536,0.00390625,319.8,148.4,2.154,4,64,16
55,2,32,128,65536,0.00390625,613.4,302.4,2.028,8,128,-1
56,1,32,128,65536,0.00390625,312.6,165.9,1.884,8,64,-1
56,2,32,128,65536,0.00390625,614.3,226.6,2.711,4,64,-1
57,1,32,128,65536,0.00390625,320.1,141.3,2.266,4,64,56
57,2,32,128,65536,0.00390625,613,297.3,2.062,4,128,-1
58,1,32,128,65536,0.00390625,307.5,163.9,1.876,8,128,32
58,2,32,128,65536,0.00390625,620,329.8,1.88,8,128,24
59,1,32,128,65536,0.00390625,325,142.9,2.274,4,64,80
59,2,32,128,65536,0.00390625,636,311.5,2.042,4,64,88
60,1,32,128,65536,0.00390625,321.1,177.5,1.81,4,128,-1
60,2,32,128,65536,0.00390625,615.2,314.4,1.957,2,64,-1
61,1,32,128,65536,0.00390625,424.1,171.2,2.477,8,128,72
61,2,32,128,65536,0.00390625,702.4,315.7,2.225,4,64,56
62,1,32,128,65536,0.00390625,417,161.4,2.583,4,64,40
62,2,32,128,65536,0.00390625,714.7,364.1,1.963,4,128,24
63,1,32,128,65536,0.00390625,436,191.2,2.28,8,256,4
63,2,32,128,65536,0.00390625,722.6,363.7,1.987,8,128,4
64,1,32,128,65536,0.00390625,432.3,208.7,2.072,4,64,-1
64,2,32,128,65536,0.00390625,724.2,270.9,2.674,4,64,8
65,1,32,128,65536,0.00390625,431.9,152.3,2.836,4,64,56
65,2,32,128,65536,0.00390625,724.9,312.6,2.319,8,128,32
66,1,32,128,65536,0.00390625,429.2,175.2,2.449,8,128,32
66,2,32,128,65536,0.00390625,727.7,371,1.962,2,64,16
67,1,32,128,65536,0.00390625,428.8,172,2.493,4,64,80
67,2,32,128,65536,0.00390625,725,360.1,2.013,4,64,88
68,1,32,128,65536,0.00390625,442.5,198.2,2.232,2,64,32
68,2,32,128,65536,0.00390625,746.8,357.9,2.086,4,128,8
69,1,32,128,65536,0.00390625,450.5,189.5,2.377,4,64,56
69,2,32,128,65536,0.00390625,757.6,386.5,1.96,8,128,32
70,1,32,128,65536,0.00390625,441.8,183.9,2.403,4,64,40
70,2,32,128,65536,0.00390625,757.2,413.7,1.83,2,64,40
71,1,32,128,65536,0.00390625,458.1,179,2.559,8,128,8
72,1,32,128,65536,0.00390625,453.9,224.8,2.019,4,64,-1
73,1,32,128,65536,0.00390625,454,179.7,2.526,4,64,56
73,2,32,128,65536,0.00390625,778,351.8,2.211,8,128,32
74,1,32,128,65536,0.00390625,453.4,202.9,2.235,8,128,24
74,2,32,128,65536,0.00390625,774.5,433.9,1.785,2,64,40
75,1,32,128,65536,0.00390625,458,187.3,2.445,8,128,24
75,2,32,128,65536,0.00390625,800.8,415.9,1.926,8,128,16
76,1,32,128,65536,0.00390625,456.5,216.3,2.11,4,64,32
77,1,32,128,65536,0.00390625,461.4,204.3,2.259,4,64,64
78,1,32,128,65536,0.00390625,446.7,207.1,2.157,4,64,112
79,1,32,128,65536,0.00390625,473.7,217.3,2.18,8,64,8
80,1,32,128,65536,0.00390625,472.4,242.5,1.948,2,64,-1
81,1,32,128,65536,0.00390625,474.3,209.5,2.264,4,64,56
82,1,32,128,65536,0.00390625,473.9,199.9,2.37,8,128,24
83,1,32,128,65536,0.00390625,475.7,227.3,2.093,8,64,-1
84,1,32,128,65536,0.00390625,474.1,254.6,1.862,8,64,-1
85,1,32,128,65536,0.00390625,482.7,226.7,2.129,8,128,72
86,1,32,128,65536,0.00390625,482,222.4,2.167,4,64,40
87,1,32,128,65536,0.00390625,498.3,232.2,2.146,8,64,8
88,1,32,128,65536,0.00390625,488.9,261.3,1.871,4,64,-1
89,1,32,128,65536,0.00390625,493.5,189,2.611,4,64,56
90,1,32,128,65536,0.00390625,474.6,218,2.177,8,128,32
91,1,32,128,65536,0.00390625,502.9,257.1,1.956,8,128,16
