batch_size,next_n,heads,index_dim,avg_kv_length,var_ratio,deepgemm_us,moreh_us,speedup,top_configs,num_warp,chunkK,splitK
11,1,32,128,65536,0.00390625,73.4,39.6,1.853,"[(4, 64, 80, 39), (8, 64, 80, 39), (4, 64, 176, 44), (4, 64, 200, 44), (4, 64, 192, 44), (4, 64, 184, 45), (2, 64, 96, 46), (8, 64, 192, 46), (8, 64, 176, 46), (8, 64, 184, 46)]",,,
11,2,32,128,65536,0.00390625,166.9,68.0,2.454,"[(4, 64, 40, 68), (8, 64, 40, 68), (8, 128, 40, 76), (4, 64, 80, 76), (8, 64, 144, 77), (8, 128, 48, 77), (8, 64, 80, 78), (8, 64, 136, 78), (4, 64, 136, 79), (4, 64, 144, 79)]",,,
12,1,32,128,65536,0.00390625,83.8,51.4,1.63,"[(4, 64, 64, 51), (8, 128, 48, 51), (8, 128, -1, 51), (4, 64, 96, 51), (2, 64, 96, 51), (4, 64, 72, 52), (8, 128, 40, 52), (8, 64, 72, 52), (4, 64, -1, 52), (4, 64, 88, 52)]",,,
12,2,32,128,65536,0.00390625,166.7,84.4,1.975,"[(8, 128, 24, 84), (4, 64, 40, 84), (4, 64, 48, 85), (4, 64, 32, 86), (4, 64, -1, 87), (8, 64, 32, 87), (8, 64, 24, 87), (4, 128, 24, 88), (4, 64, 96, 88), (8, 64, -1, 88)]",,,
13,1,32,128,65536,0.00390625,85.0,49.4,1.719,"[(8, 128, 104, 49), (8, 128, 112, 50), (8, 128, 120, 50), (8, 128, 128, 50), (4, 64, 152, 51), (8, 64, 112, 52), (8, 64, 104, 52), (4, 64, 176, 52), (4, 64, 192, 52), (8, 64, 48, 53)]",,,
13,2,32,128,65536,0.00390625,177.0,81.1,2.182,"[(8, 64, -1, 81), (4, 64, -1, 84), (4, 64, 96, 85), (8, 128, 64, 85), (8, 128, 56, 86), (8, 128, 48, 86), (8, 64, 112, 87), (4, 64, 112, 88), (8, 64, 104, 88), (8, 64, 96, 89)]",,,
14,1,32,128,65536,0.00390625,91.7,49.6,1.847,"[(8, 128, 40, 49), (8, 128, 88, 50), (4, 64, 88, 50), (8, 128, 96, 51), (8, 128, 72, 51), (8, 64, 88, 53), (4, 128, 40, 54), (8, 64, 40, 55), (4, 64, 56, 55), (4, 64, 80, 55)]",,,
14,2,32,128,65536,0.00390625,169.1,85.9,1.968,"[(4, 64, 40, 85), (8, 64, 40, 88), (8, 128, 40, 89), (4, 64, 32, 90), (8, 64, 32, 90), (8, 128, -1, 92), (4, 64, 80, 93), (4, 64, 88, 94), (4, 64, 72, 95), (8, 64, -1, 96)]",,,
15,1,32,128,65536,0.00390625,96.3,45.6,2.113,"[(4, 64, 80, 45), (8, 64, 80, 48), (2, 64, 80, 53), (4, 64, 136, 55), (8, 128, -1, 56), (8, 64, 144, 56), (8, 128, 40, 56), (4, 64, 144, 56), (8, 128, 32, 57), (4, 64, 56, 57)]",,,
15,2,32,128,65536,0.00390625,176.3,92.5,1.905,"[(8, 64, 24, 92), (8, 128, 40, 94), (4, 64, 72, 95), (8, 128, 64, 95), (8, 64, 72, 96), (4, 64, 24, 96), (4, 64, 128, 98), (4, 64, 120, 98), (8, 128, -1, 98), (4, 64, 112, 99)]",,,
16,1,32,128,65536,0.00390625,103.9,61.1,1.702,"[(4, 64, 48, 61), (8, 128, 32, 62), (4, 64, 72, 63), (4, 64, 40, 63), (8, 64, 56, 63), (4, 64, 56, 64), (8, 128, 80, 64), (8, 64, 48, 64), (4, 64, 160, 64), (4, 64, 136, 64)]",,,
16,2,32,128,65536,0.00390625,211.9,81.2,2.61,"[(8, 64, 32, 81), (8, 128, 16, 81), (4, 64, 32, 83), (4, 64, 72, 83), (8, 64, 72, 83), (8, 64, 64, 85), (4, 64, 120, 85), (8, 64, 24, 85), (4, 64, 64, 86), (4, 64, 112, 86)]",,,
